Sport,Year,Brand,Set,CardNumber,Player,Team,Parallel_Attributes,Serial,GradingCompany,Grade,CertNumber,IsAuto,Quantity,ListPrice,PricingBasis,Confidence,CompDate,CompSource,ConditionNotes,SourcePhoto,ImageURL_pro,MarketplaceStatus
Football,2025,Topps,Chrome (Round 1 Pick 10),84,Colston Loveland,Bears,,,,,,Y,1,50.00,sticker,your price,,,RC auto,IMG_4824,,UNLISTED
Football,2024,Topps,Chrome,,Xavier Worthy,Chiefs,,017/100,,,,Y,1,50.00,comp,low,2024,SportsCardInvestor,RC auto,IMG_4848,,UNLISTED
Football,2025,Wild Card,Psyched Alumination,,LaNorris Sellers,South Carolina,,1/3,,,,Y,1,50.00,est,est,,,RC auto /3,IMG_4865,,UNLISTED
Football,,Wild Card,Card Club,15,Patrick Mahomes,Chiefs,,4/4,,,,,1,50.00,est,est,,,/4,IMG_4874,,UNLISTED
Football,2025,Wild Card,Alumination,15,Drew Allar,Penn State,,2/5,,,,,1,50.00,est,est,,,RC /5,IMG_4906,,UNLISTED
Football,2025,Panini,Mosaic,305,Cam Skattebo,Giants,Red Camo,,PSA,9 MINT,146074542,,1,45.00,comp,low,2025,eBay,RC,IMG_4854,,UNLISTED
Football,,Panini,Mosaic,17,Davante Adams,Raiders,Gold,,,,,,1,40.00,sticker,your price,,,,IMG_4840,,UNLISTED
Football,,Topps,Fire (dual jersey auto),15,Ladd McConkey,Chargers,,,,,,Y,1,40.00,comp,low,2024,eBay,RC jersey auto,IMG_4842,,UNLISTED
Football,2025,Topps,Chrome,4,Tetairoa McMillan,Panthers,,,,,,,1,40.00,comp,low,2025,eBay,RC,IMG_4842,,UNLISTED
Football,,Donruss,Rated Rookie,3,Jordan Addison,Vikings,,083/175,,,,Y,1,40.00,comp,med,2024,SportsCardInvestor,RC auto,IMG_4844,,UNLISTED
Football,2022,Panini,Select,58,Amon-Ra St. Brown,Lions,Tri-Color Prizm,37/249,SGC,10,1304949,,1,40.00,comp,low,2025,eBay,,IMG_4855,,UNLISTED
Football,2025,Topps,Chrome Black,94,Mason Graham,Browns,,,,,,Y,1,40.00,comp,low,2025,eBay,RC auto,IMG_4865,,UNLISTED
Football,2020,Panini,Contenders Rookie Ticket,86,Michael Pittman Jr.,Colts,,,,,,Y,1,35.00,comp,low,2020,eBay,RC auto,IMG_4845,,UNLISTED
Football,,Wild Card,Alumination,,Dak Prescott,Cowboys,Orange,6/20,,,,,1,35.00,est,est,,,/20,IMG_4875,,UNLISTED
Football,,Topps,Finest,82,Dante Hall,Chiefs,Red,06/25,,,,Y,1,35.00,est,est,,,"auto /25, sealed",IMG_4935,,UNLISTED
Football,2022,Donruss,Press Proof Premium,237,Christian McCaffrey,Panthers,Press Proof Premium,,CGC,10 GEM MINT,6120395083,,1,30.00,comp,low,2022,SportsCardsPro,,IMG_4854,,UNLISTED
Football,2024,Panini,Select,64,Earl Campbell,Oilers,White Shock,,SGC,9 MINT,13841571,,1,30.00,comp,low,2024,n/a,,IMG_4855,,UNLISTED
Football,,Custom,Kaboom!,,James Cook,Bills,,,BGS,Auth Auto,00020189746,Y,1,25.00,est,est,,,FLAG: Beckett slab labels card COUNTERFEIT (custom Kaboom); auto authentic only - disclose/likely cannot list on major m,IMG_4823,,UNLISTED
Football,,Custom,Kaboom!,,James Cook,Bills,,,BGS,Auth Auto,00020189590,Y,1,25.00,est,est,,,FLAG: Beckett slab labels card COUNTERFEIT (custom Kaboom); auto authentic only - disclose/likely cannot list on major m,IMG_4823,,UNLISTED
Football,,Pro Set,NFL,99,Dan Hampton,Bears,,,PSA/DNA,Auth Auto,85843496,Y,1,25.00,est,est,,,,IMG_4823,,UNLISTED
Football,,Custom,Booom!,50,Mike Singletary,Bears,,,BGS,Auth Auto,00019911771,Y,1,25.00,est,est,,,FLAG: Beckett labels CUSTOM trading card; auto authentic - disclose,IMG_4825,,UNLISTED
Football,,Donruss,Optic Rated Rookie,0,Keon Coleman,Bills,,,,,,Y,1,25.00,sticker,your price,,,RC auto,IMG_4837,,UNLISTED
Football,2010,Topps,Triple Threads,,Dexter McCluster,Chiefs,,53/70,,,,Y,1,25.00,sticker,your price,,,RC patch auto,IMG_4839,,UNLISTED
Football,2013,Topps,,,Travis Kelce,Chiefs,,,,,,,1,25.00,sticker,your price,,,RC-era; confirm exact set,IMG_4842,,UNLISTED
Football,,Panini,Origins Rookie Jumbo Jersey Autographs,,Keon Coleman,Bills,,,,,,Y,1,25.00,sticker,your price,,,RC jumbo jersey auto,IMG_4849,,UNLISTED
Football,,Panini,Signature,44,Dallas Clark,Colts,,,,,,Y,1,25.00,sticker,your price,,,,IMG_4849,,UNLISTED
Football,,Custom,Boom,2,Johnny Manziel,Texas A&M,,,BGS,Witnessed Auth Auto,00019976760,Y,1,25.00,est,est,,,FLAG: Beckett labels CUSTOM card; witnessed auto - disclose,IMG_4855,,UNLISTED
Football,,Custom,Boom,2,Johnny Manziel,Texas A&M,,,BGS,Witnessed Auth Auto,00019976761,Y,1,25.00,est,est,,,FLAG: Beckett labels CUSTOM card; witnessed auto - disclose (2nd copy),IMG_4855,,UNLISTED
Football,,Custom,Boom!,93,Gilbert Brown,Packers,,,BGS,Witnessed Auth Auto,00019565367,Y,1,25.00,est,est,,,FLAG: Beckett labels CUSTOM card; witnessed auto - disclose,IMG_4855,,UNLISTED
Football,2025,Donruss,Season Stat Line,49,Jayden Reed,Packers,Pink,413/500,CGC,10 GEM MINT,6129034287,,1,25.00,est,est,,,,IMG_4900,,UNLISTED
Football,,Topps,,34,Ricky Williams,Dolphins,,,,,,Y,1,24.00,sticker,your price,,,,IMG_4841,,UNLISTED
Football,2025,Topps,Chrome Fortune,10,Luther Burden III,Bears,Spade,36/50,,,,,1,23.00,sticker,your price,,,RC,IMG_4838,,UNLISTED
Football,2025,Panini,Phoenix,189,Isaac TeSlaa,Lions,Silver,,CGC,10 GEM MINT,6115924042,,1,20.00,comp,low,2025,SportsCardsPro,RC,IMG_4823,,UNLISTED
Football,,Topps,,13,Dan Marino,Dolphins,,,,,,Y,1,20.00,est,est,,,certified auto issue,IMG_4825,,UNLISTED
Football,2010,Panini,Prestige Draft,15,Tim Tebow,Broncos,,,,,,Y,1,20.00,est,est,,,RC auto,IMG_4831,,UNLISTED
Football,,Leaf,Metal Signature Series,99,Warren Sapp,Buccaneers,,,,,,Y,1,20.00,est,est,,,,IMG_4832,,UNLISTED
Football,,Panini,Illusions Rookie Vision,14,George Pickens,Steelers,,,,,,Y,1,20.00,est,est,,,RC auto,IMG_4832,,UNLISTED
Football,,Panini,Absolute,32,David Montgomery,Bears,,13/75,,,,Y,1,20.00,est,est,,,RC auto,IMG_4834,,UNLISTED
Football,2025,Topps,Chrome,8,Omarion Hampton,Chargers,,109/499,,,,Y,1,20.00,est,est,,,RC auto,IMG_4845,,UNLISTED
Football,,Panini,National Treasures Century Materials,,Dak Prescott,Cowboys,,38/49,,,,,1,20.00,est,est,,,patch,IMG_4845,,UNLISTED
Football,,Panini,Contenders Conference Ticket,,Alec Pierce,Colts,,,,,,Y,1,20.00,est,est,,,RC auto,IMG_4848,,UNLISTED
Football,2025,Fut/Leaf,Players Trove,33,Jack Sawyer,Steelers,,,,,,Y,1,20.00,est,est,,,RC auto (college Ohio St),IMG_4848,,UNLISTED
Football,2025,Leaf,Metal Matte,,Ashton Jeanty,Raiders,Matte,39/50,,,,,1,20.00,est,est,,,RC (college),IMG_4858,,UNLISTED
Football,2023,Panini,Origins Rookie Autographs,80,Zay Flowers,Ravens,,,,,,Y,1,20.00,est,est,,,"RC on-card auto, sealed case",IMG_4895,,UNLISTED
Football,2025,Panini,Phoenix,2,Ashton Jeanty,Raiders,,,,,,Y,1,20.00,est,est,,,"RC dual patch auto, sealed case",IMG_4895,,UNLISTED
Football,,Panini,Black Futuristic,7,C.J. Stroud,Texans,,04/99,,,,,1,20.00,est,est,,,"RC jersey, sealed",IMG_4900,,UNLISTED
Football,,Panini,Signature,94,Kony Ealy,Panthers,,,,,,Y,1,20.00,est,est,,,,IMG_4906,,UNLISTED
Football,,Panini,Prizm Significant Signatures,25,Hassan Haskins,Chargers,,,,,,Y,1,20.00,est,est,,,,IMG_4906,,UNLISTED
Football,,Topps,Chrome,97,Mario Edwards Jr.,Raiders,,,,,,Y,1,20.00,est,est,,,,IMG_4906,,UNLISTED
Football,2015,Sage,Draft Picks,75,Cameron Erving,Florida State,,,,,,Y,1,20.00,est,est,,,RC auto,IMG_4926,,UNLISTED
Football,,Panini,Prizm Sensational Signatures,,Randall Cobb,Packers,Pink Xfractor,,,,,Y,1,20.00,est,est,,,"auto, sealed",IMG_4941,,UNLISTED
Football,,Panini,Phoenix Signatures Moments,14,DK Metcalf,Seahawks,,,,,,Y,1,20.00,est,est,,,"auto, sealed",IMG_4941,,UNLISTED
Football,,Panini,Prizm Franchise Legends,85,Antonio Gates,Chargers,,,,,,Y,1,20.00,est,est,,,"auto, sealed",IMG_4942,,UNLISTED
Football,,Panini,Plates & Patches Legends,,Tony Gonzalez,Chiefs,,37/65,,,,,1,20.00,est,est,,,,IMG_4948,,UNLISTED
Football,,Leaf,Flash,8,Lamar Jackson,Ravens,Blue,076/150,,,,,1,19.00,sticker,your price,,,confirm brand,IMG_4848,,UNLISTED
Football,,Topps,Finest Creators,17,Josh Allen,Bills,,058/150,,,,,1,18.00,sticker,your price,,,,IMG_4840,,UNLISTED
Football,,Panini,Immortalized (auto patch),,Redskins WR (confirm),Commanders,Xfractor-style,39/99,,,,Y,1,17.00,sticker,your price,,,confirm player,IMG_4842,,UNLISTED
Football,,Panini,Prizm,9,Joe Burrow,Bengals,,,,,,,1,15.00,est,est,,,,IMG_4825,,UNLISTED
Football,,Panini,Limited Unlimited Potential,20,Breece Hall,Jets,,,,,,,1,15.00,est,est,,,RC jersey,IMG_4831,,UNLISTED
Football,,Panini,Contenders Permit to Dominate,22,Blake Corum,Rams,,,,,,,1,15.00,sticker,your price,,,RC,IMG_4835,,UNLISTED
Football,,Topps,Chrome Light Speed,,Josh Allen,Bills,,,,,,,1,15.00,est,est,,,,IMG_4858,,UNLISTED
Football,,Panini,Select Multiverse,58,Von Miller,Broncos,Red,,,,,,1,15.00,est,est,,,dual jersey,IMG_4859,,UNLISTED
Football,,Donruss,Elite Coverage,21,Ezekiel Elliott,Cowboys,,,,,,,1,15.00,est,est,,,jersey,IMG_4859,,UNLISTED
Football,,Panini,Select Multiverse,5,Marquise Brown,Chiefs,,,,,,,1,15.00,est,est,,,dual jersey,IMG_4860,,UNLISTED
Football,2023,Panini,Select,15,Patrick Mahomes II,Chiefs,Silver,,,,,,1,15.00,est,est,,,,IMG_4873,,UNLISTED
Football,,Topps,Chrome Cosmic,15,Patrick Mahomes II,Chiefs,,,,,,,1,15.00,est,est,,,sealed,IMG_4927,,UNLISTED
Football,,Panini,Mosaic Men of Mastery,12,Tom Brady,Buccaneers,,,,,,,1,15.00,est,est,,,,IMG_4929,,UNLISTED
Football,,Panini,Mosaic,17,Josh Allen,Bills,Silver,,,,,,1,15.00,est,est,,,,IMG_4930,,UNLISTED
Football,,Panini,Mosaic Touchdown Masters,9,Joe Burrow,Bengals,,,,,,,1,15.00,est,est,,,,IMG_4932,,UNLISTED
Football,,Panini,Mosaic,1,Ja'Marr Chase,Bengals,Pink Camo,,,,,,1,15.00,est,est,,,,IMG_4932,,UNLISTED
Football,2025,Donruss,Optic Phenom,15,Riley Leonard,Colts,,,,,,,1,15.00,est,est,,,RC jersey,IMG_4942,,UNLISTED
Football,,Topps,Chrome Light Speed,15,Patrick Mahomes II,Chiefs,,,,,,,1,15.00,est,est,,,sealed,IMG_4948,,UNLISTED
Football,,Topps,Class Action,18,Caleb Williams,Bears,Red,215/299,,,,,1,10.00,est,est,,,RC insert,IMG_4843,,UNLISTED
Football,,Topps,Chrome,94,Cameron Jordan,Saints,Blue Wave,035/150,,,,,1,10.00,est,est,,,,IMG_4925,,UNLISTED
Football,,Panini,Mosaic Swagger,15,Patrick Mahomes II,Chiefs,,,,,,,1,8.25,sticker,your price,,,,IMG_4849,,UNLISTED
Football,,Panini,Prizm Black,,Justin Herbert,Chargers,Black,,,,,,1,6.00,est,est,,,RC,IMG_4822,,UNLISTED
Football,,Donruss,Downtown,15,Rome Odunze,Bears,Downtown SSP,,,,,,1,6.00,est,est,,,RC insert,IMG_4824,,UNLISTED
Football,,Panini,Select,17,Puka Nacua,Rams,Blue,,,,,,1,6.00,est,est,,,RC,IMG_4825,,UNLISTED
Football,,Panini,Mosaic Kaleidoscope,10,Bo Nix,Broncos,Kaleidoscope,,,,,,1,6.00,est,est,,,RC,IMG_4826,,UNLISTED
Football,2025,Topps,Chrome,1,Cam Ward,Titans,,,,,,,1,6.00,est,est,,,RC,IMG_4831,,UNLISTED
Football,,Panini,Classics Rookies,16,Jameson Williams,Lions,Gold,,,,,,1,6.00,est,est,,,RC,IMG_4833,,UNLISTED
Football,,Panini,Mosaic,97,Aidan Hutchinson,Lions,Red/Disco,,,,,,1,6.00,est,est,,,RC,IMG_4838,,UNLISTED
Football,,Donruss,Optic Rated Rookie,8,Isaac TeSlaa,Lions,Green,,,,,,1,6.00,est,est,,,RC,IMG_4838,,UNLISTED
Football,,Panini,Prizm,10,Quinshon Judkins,Browns,Orange,,,,,,1,6.00,est,est,,,RC,IMG_4843,,UNLISTED
Football,,Topps,Chrome,13,Caleb Williams,Bears,Xfractor,,,,,,1,6.00,est,est,,,RC,IMG_4843,,UNLISTED
Football,2010,Topps,Chrome,15,Tim Tebow,Broncos,,,,,,,1,6.00,est,est,,,RC,IMG_4845,,UNLISTED
Football,2025,Panini,Phoenix,6,Jaxson Dart,Giants,,,,,,,1,6.00,est,est,,,RC,IMG_4848,,UNLISTED
Football,2024,Panini,Prizm,,Malik Nabers,Giants,Pink,,,,,,1,6.00,est,est,,,RC,IMG_4848,,UNLISTED
Football,,Panini,Edge,89,Brock Bowers,Raiders,Green,,,,,,1,6.00,est,est,,,RC,IMG_4858,,UNLISTED
Football,,Topps,Chrome,10,Bo Nix,Broncos,Xfractor,,,,,,1,6.00,est,est,,,RC,IMG_4859,,UNLISTED
Football,2025,Panini,Prizm,9,Emeka Egbuka,Buccaneers,,,,,,,1,6.00,est,est,,,RC,IMG_4860,,UNLISTED
Football,2025,Panini,Select,24,Malaki Starks,Ravens,,,,,,,1,6.00,est,est,,,RC,IMG_4860,,UNLISTED
Football,,Topps,Chrome,,Drake Maye,Patriots,Xfractor,,,,,,1,6.00,est,est,,,RC,IMG_4865,,UNLISTED
Football,2025,Panini,Mosaic Notoriety,6,Jalen Milroe,Seahawks,,,,,,,1,6.00,est,est,,,RC,IMG_4870,,UNLISTED
Football,2025,Panini,Absolute,53,Oluwafemi Oladejo,Titans,,,,,,,1,6.00,est,est,,,RC,IMG_4870,,UNLISTED
Football,,Panini,Prizm,5,AJ McCarron,Bengals,,,,,,,1,6.00,est,est,,,RC,IMG_4870,,UNLISTED
Football,2025,Panini,Mosaic Notoriety,,Shedeur Sanders,Browns,,,,,,,1,6.00,est,est,,,RC,IMG_4871,,UNLISTED
Football,2025,Panini,Mosaic,44,Cam Skattebo,Giants,Silver,,,,,,1,6.00,est,est,,,RC,IMG_4872,,UNLISTED
Football,,Panini,Select,,Bijan Robinson,Falcons,,,,,,,1,6.00,est,est,,,RC,IMG_4872,,UNLISTED
Football,2023,Panini,Select,,C.J. Stroud,Texans,,,,,,,1,6.00,est,est,,,RC,IMG_4873,,UNLISTED
Football,2025,Topps,Chrome Power Players,,Abdul Carter,Giants,,,,,,,1,6.00,est,est,,,RC,IMG_4874,,UNLISTED
Football,,Topps,Chrome,,Michael Penix Jr.,Falcons,Blue Refractor,,,,,,1,6.00,est,est,,,RC,IMG_4874,,UNLISTED
Football,2025,Topps,Chrome Power Players,,Travis Hunter,Jaguars,,,,,,,1,6.00,est,est,,,RC,IMG_4874,,UNLISTED
Football,2025,Topps,Chrome,,Cam Ward,Titans,Refractor,,,,,,1,6.00,est,est,,,RC,IMG_4875,,UNLISTED
Football,2025,Donruss,Rookies (White Hot),,Travis Hunter,Jaguars,,,,,,,1,6.00,est,est,,,RC,IMG_4875,,UNLISTED
Football,,Panini,Mosaic NFL Debut,,Michael Penix Jr.,Falcons,Pink Camo,,,,,,1,6.00,est,est,,,RC,IMG_4875,,UNLISTED
Football,2025,Panini,Prizm Prizmatic,87,Luther Burden III,Bears,,,,,,,1,6.00,est,est,,,RC,IMG_4891,,UNLISTED
Football,2024,Donruss,Optic Rated Rookie,15,Jalen McMillan,Buccaneers,Blue,,,,,,1,6.00,est,est,,,RC,IMG_4891,,UNLISTED
Football,2025,Topps,Rookie Wave,4,Tetairoa McMillan,Panthers,,,,,,,1,6.00,est,est,,,RC,IMG_4925,,UNLISTED
Football,2025,Topps,Chrome,,Pat Bryant,Broncos,Xfractor,,,,,,1,6.00,est,est,,,RC; confirm player,IMG_4925,,UNLISTED
Football,2025,Topps,Chrome,,Kaleb Johnson,Steelers,,,,,,,1,6.00,est,est,,,RC,IMG_4925,,UNLISTED
Football,2025,Donruss,Optic Rated Rookie,11,Jalon Walker,Falcons,Pink,,,,,,1,6.00,est,est,,,RC,IMG_4925,,UNLISTED
Football,2025,Donruss,Optic Rated Rookie,31,DJ Giddens,Colts,Pink,,,,,,1,6.00,est,est,,,RC,IMG_4926,,UNLISTED
Football,,Topps,Chrome,23,Roschon Johnson,Bears,,,,,,,1,6.00,est,est,,,RC,IMG_4926,,UNLISTED
Football,2024,Donruss,Optic Rated Rookie,7,Bucky Irving,Buccaneers,,,,,,,1,6.00,est,est,,,RC,IMG_4927,,UNLISTED
Football,2025,Panini,Elevate,87,Luther Burden III,Bears,,,,,,,1,6.00,est,est,,,RC,IMG_4927,,UNLISTED
Football,2025,Topps,Chrome,,Elijah Arroyo,Seahawks,,,,,,,1,6.00,est,est,,,RC,IMG_4927,,UNLISTED
Football,2025,Panini,Notoriety,,Cam Ward,Titans,,,,,,,1,6.00,est,est,,,RC,IMG_4927,,UNLISTED
Football,2025,Panini,Mosaic Elevate,12,Travis Hunter,Jaguars,Blue,,,,,,1,6.00,est,est,,,RC,IMG_4928,,UNLISTED
Football,2025,Topps,Chrome,91,Tyleik Williams,Lions,Xfractor,,,,,,1,6.00,est,est,,,RC,IMG_4928,,UNLISTED
Football,2025,Panini,Mosaic Notoriety,,Abdul Carter,Giants,,,,,,,1,6.00,est,est,,,RC,IMG_4929,,UNLISTED
Football,2025,Topps,Chrome,24,Malaki Starks,Ravens,Refractor,,,,,,1,6.00,est,est,,,RC,IMG_4930,,UNLISTED
Football,2025,Topps,Chrome,13,Pat Bryant,Broncos,,,,,,,1,6.00,est,est,,,RC,IMG_4931,,UNLISTED
Football,2025,Panini,Prizm,9,Emeka Egbuka,Buccaneers,,,,,,,1,6.00,est,est,,,RC,IMG_4931,,UNLISTED
Football,2020,Panini,Mosaic,10,Justin Herbert,Chargers,Red,,,,,,1,6.00,est,est,,,RC,IMG_4931,,UNLISTED
Football,2025,Panini,Mosaic,12,Shedeur Sanders,Browns,Pink Camo,,,,,,1,6.00,est,est,,,RC,IMG_4932,,UNLISTED
Football,2025,Panini,Mosaic,12,Shedeur Sanders,Browns,Green,,,,,,1,6.00,est,est,,,RC,IMG_4932,,UNLISTED
Football,2025,Panini,Mosaic,22,Matthew Golden,Packers,Pink Camo,,,,,,1,6.00,est,est,,,RC,IMG_4933,,UNLISTED
Football,2025,Panini,Mosaic,20,Kaleb Johnson,Steelers,Pink Camo,,,,,,1,6.00,est,est,,,RC,IMG_4933,,UNLISTED
Football,2024,Panini,Prizm,18,Caleb Williams,Bears,,,,,,,1,6.00,est,est,,,"RC, sealed",IMG_4935,,UNLISTED
Football,2025,Panini,Phoenix Thunderbirds,2,Ashton Jeanty,Raiders,,,,,,,1,6.00,est,est,,,"RC, sealed",IMG_4935,,UNLISTED
Football,2025,Donruss,Optic Rated Rookie,9,Emeka Egbuka,Buccaneers,Blue,,,,,,1,6.00,est,est,,,RC,IMG_4942,,UNLISTED
Football,2025,Donruss,Optic Rated Rookie,,Shedeur Sanders,Browns,Purple,,,,,,1,6.00,est,est,,,RC,IMG_4942,,UNLISTED
Football,2025,Donruss,Optic Rated Rookie,84,Tyler Warren,Colts,,,,,,,1,6.00,est,est,,,RC,IMG_4948,,UNLISTED
Football,2025,Panini,Phoenix Paragon,,Jaxson Dart,Giants,,,,,,,1,6.00,est,est,,,"RC, sealed",IMG_4948,,UNLISTED
Football,2024,Panini,Absolute,15,Rome Odunze,Bears,,,,,,,1,6.00,est,est,,,"RC, sealed",IMG_4950,,UNLISTED
Football,2025,Donruss,Optic Rated Rookie,3,Nick Emmanwori,Seahawks,Blue,,,,,,1,6.00,est,est,,,RC,IMG_4950,,UNLISTED
Football,,Panini,Prizm,99,Aaron Donald,Rams,Checkerboard,,,,,,1,5.00,sticker,your price,,,,IMG_4836,,UNLISTED
Football,,Panini,Fuzion,18,Justin Jefferson,Vikings,,,,,,,1,5.00,sticker,your price,,,,IMG_4837,,UNLISTED
Football,,Panini,Mosaic National Pride,13,Brock Purdy,49ers,,,,,,,1,5.00,sticker,your price,,,patriotic insert,IMG_4841,,UNLISTED
Football,,Panini,Select,14,Sam Darnold,Panthers,,,,,,,1,3.00,est,est,,,,IMG_4822,,UNLISTED
Football,,Panini,Select,90,Jordan Davis,Eagles,Zebra,,,,,,1,3.00,est,est,,,,IMG_4824,,UNLISTED
Football,,Panini,Prizm,,Amon-Ra St. Brown,Lions,Pink,,,,,,1,3.00,est,est,,,,IMG_4832,,UNLISTED
Football,,Panini,Mosaic,,Robert Quinn,Bears,Gold,,,,,,1,3.00,est,est,,,,IMG_4832,,UNLISTED
Football,,Panini,Mosaic,88,Dawson Knox,Bills,Gold,,,,,,1,3.00,est,est,,,,IMG_4834,,UNLISTED
Football,,Panini,Mosaic,,DK Metcalf,Seahawks,Disco/Silver,,,,,,1,3.00,est,est,,,,IMG_4834,,UNLISTED
Football,,Panini,Mosaic,30,Terrell Davis,Broncos,Silver,,,,,,1,3.00,est,est,,,,IMG_4835,,UNLISTED
Football,,Panini,Mosaic,10,Justin Herbert,Chargers,Cracked Ice/Silver,,,,,,1,3.00,est,est,,,,IMG_4842,,UNLISTED
Football,,Panini,Select,5,David Montgomery,Lions,Zebra,,,,,,1,3.00,est,est,,,,IMG_4844,,UNLISTED
Football,,Panini,Mosaic Got Game?,,George Kittle,49ers,Gold,,,,,,1,3.00,est,est,,,,IMG_4848,,UNLISTED
Football,,Panini,Mosaic England Games,5,Garrett Wilson,Jets,Green,,,,,,1,3.00,est,est,,,,IMG_4858,,UNLISTED
Football,,Panini,Prizm,94,DeMarcus Ware,Broncos,Silver,,,,,,1,3.00,est,est,,,,IMG_4859,,UNLISTED
Football,,Panini,Prizm,30,Terrell Davis,Broncos,Red,,,,,,1,3.00,est,est,,,,IMG_4859,,UNLISTED
Football,,Donruss,Optic Light It Up,7,C.J. Stroud,Texans,,,,,,,1,3.00,est,est,,,,IMG_4859,,UNLISTED
Football,,Topps,Paramount Pairings,,Drake Maye / Stefon Diggs,Patriots,,,,,,,1,3.00,est,est,,,dual,IMG_4860,,UNLISTED
Football,,Topps,Paramount Pairings,,Bo Nix / Courtland Sutton,Broncos,,,,,,,1,3.00,est,est,,,dual,IMG_4860,,UNLISTED
Football,,Topps,Total Touchdowns,10,Drake Maye,Patriots,,,,,,,1,3.00,est,est,,,,IMG_4860,,UNLISTED
Football,,Panini,Mosaic Numbers Matter,89,Brock Bowers,Raiders,,,,,,,1,3.00,est,est,,,,IMG_4865,,UNLISTED
Football,,Topps,Chrome,15,Ladd McConkey,Chargers,Gold Xfractor,,,,,,1,3.00,est,est,,,,IMG_4865,,UNLISTED
Football,,Panini,Gridiron Kings,1,Travis Etienne Jr.,Jaguars,,,,,,,1,3.00,est,est,,,,IMG_4870,,UNLISTED
Football,,Panini,Prizm,81,Anquan Boldin,49ers,,,,,,,1,3.00,est,est,,,,IMG_4870,,UNLISTED
Football,,Panini,Mosaic,88,CeeDee Lamb,Cowboys,Pink Camo,,,,,,1,3.00,est,est,,,,IMG_4870,,UNLISTED
Football,,Topps,Chrome All-Chrome,26,Saquon Barkley,Eagles,,,,,,,1,3.00,est,est,,,,IMG_4871,,UNLISTED
