card_id,player,year,brand,set,parallel,serial,grade,current_value,current_basis,CARDLADDER_LAST_SOLD,SALE_DATE
IMG_4831:7,Tim Tebow,2010,Panini,Prestige Draft,,,,20,est,,
IMG_4832:1,Warren Sapp,,Leaf,Metal Signature Series,,,,20,est,,
IMG_4832:5,George Pickens,,Panini,Illusions Rookie Vision,,,,20,est,,
IMG_4833:1,J.J. McCarthy,,Donruss,Rated Rookie,,,,20,est,,
IMG_4833:4,Keon Coleman,,Panini,Gold Standard,,039/199,,20,est,,
IMG_4834:3,David Montgomery,,Panini,Absolute,,13/75,,20,est,,
IMG_4840:5,Quinshon Judkins,2025,Topps,Chrome,Blue,117/150,,20,est,,
IMG_4844:5,Jordan Addison,,Donruss,Rated Rookie,,083/175,,20,est,,
IMG_4845:2,Omarion Hampton,2025,Topps,Chrome,,109/499,,20,est,,
IMG_4845:5,Dak Prescott,,Panini,National Treasures Century Materials,,38/49,,20,est,,
IMG_4845:6,Michael Pittman Jr.,2020,Panini,Contenders Rookie Ticket,,,,20,est,,
IMG_4848:4,Alec Pierce,,Panini,Contenders Conference Ticket,,,,20,est,,
IMG_4848:5,Jack Sawyer,2025,Fut/Leaf,Players Trove,,,,20,est,,
IMG_4848:6,Xavier Worthy,2024,Topps,Chrome,,017/100,,20,est,,
IMG_4858:5,Ashton Jeanty,2025,Leaf,Metal Matte,Matte,39/50,,20,est,,
IMG_4865:1,Mason Graham,2025,Topps,Chrome Black,,,,20,est,,
IMG_4895:1,Zay Flowers,2023,Panini,Origins Rookie Autographs,,,,20,est,,
IMG_4895:2,Ashton Jeanty,2025,Panini,Phoenix,,,,20,est,,
IMG_4900:2,C.J. Stroud,,Panini,Black Futuristic,,04/99,,20,est,,
IMG_4906:1,Kony Ealy,,Panini,Signature,,,,20,est,,
IMG_4906:2,Hassan Haskins,,Panini,Prizm Significant Signatures,,,,20,est,,
IMG_4906:4,Abdul Carter,2025,Donruss,Elite Turn of the Century,Red,11/75,,20,est,,
IMG_4906:6,Mario Edwards Jr.,,Topps,Chrome,,,,20,est,,
IMG_4926:6,Cameron Erving,2015,Sage,Draft Picks,,,,20,est,,
IMG_4941:1,Randall Cobb,,Panini,Prizm Sensational Signatures,Pink Xfractor,,,20,est,,
IMG_4941:2,DK Metcalf,,Panini,Phoenix Signatures Moments,,,,20,est,,
IMG_4942:6,Antonio Gates,,Panini,Prizm Franchise Legends,,,,20,est,,
IMG_4948:3,Tony Gonzalez,,Panini,Plates & Patches Legends,,37/65,,20,est,,
IMG_4848:2,Lamar Jackson,,Leaf,Flash,Blue,076/150,,19,sticker,,
IMG_4840:3,Josh Allen,,Topps,Finest Creators,,058/150,,18,sticker,,
IMG_4842:4,Redskins WR (confirm),,Panini,Immortalized (auto patch),Xfractor-style,39/99,,17,sticker,,
IMG_4825:1,Joe Burrow,,Panini,Prizm,,,,15,est,,
IMG_4831:8,Breece Hall,,Panini,Limited Unlimited Potential,,,,15,est,,
IMG_4835:4,Blake Corum,,Panini,Contenders Permit to Dominate,,,,15,sticker,,
IMG_4858:4,Josh Allen,,Topps,Chrome Light Speed,,,,15,est,,
IMG_4859:1,Von Miller,,Panini,Select Multiverse,Red,,,15,est,,
IMG_4859:2,Ezekiel Elliott,,Donruss,Elite Coverage,,,,15,est,,
IMG_4860:5,Marquise Brown,,Panini,Select Multiverse,,,,15,est,,
IMG_4873:1,Patrick Mahomes II,2023,Panini,Select,Silver,,,15,est,,
IMG_4927:5,Patrick Mahomes II,,Topps,Chrome Cosmic,,,,15,est,,
IMG_4929:5,Tom Brady,,Panini,Mosaic Men of Mastery,,,,15,est,,
IMG_4930:6,Josh Allen,,Panini,Mosaic,Silver,,,15,est,,
IMG_4932:1,Joe Burrow,,Panini,Mosaic Touchdown Masters,,,,15,est,,
IMG_4932:2,Ja'Marr Chase,,Panini,Mosaic,Pink Camo,,,15,est,,
IMG_4942:4,Riley Leonard,2025,Donruss,Optic Phenom,,,,15,est,,
IMG_4948:4,Patrick Mahomes II,,Topps,Chrome Light Speed,,,,15,est,,
IMG_4843:1,Caleb Williams,,Topps,Class Action,Red,215/299,,10,est,,
IMG_4925:1,Cameron Jordan,,Topps,Chrome,Blue Wave,035/150,,10,est,,
IMG_4849:1,Patrick Mahomes II,,Panini,Mosaic Swagger,,,,8,sticker,,
IMG_4822:2,Justin Herbert,,Panini,Prizm Black,Black,,,6,est,,
IMG_4824:4,Rome Odunze,,Donruss,Downtown,Downtown SSP,,,6,est,,
IMG_4825:6,Puka Nacua,,Panini,Select,Blue,,,6,est,,
IMG_4826:1,Bo Nix,,Panini,Mosaic Kaleidoscope,Kaleidoscope,,,6,est,,
IMG_4831:6,Cam Ward,2025,Topps,Chrome,,,,6,est,,
IMG_4833:6,Jameson Williams,,Panini,Classics Rookies,Gold,,,6,est,,
IMG_4838:7,Aidan Hutchinson,,Panini,Mosaic,Red/Disco,,,6,est,,
IMG_4838:8,Isaac TeSlaa,,Donruss,Optic Rated Rookie,Green,,,6,est,,
IMG_4843:2,Quinshon Judkins,,Panini,Prizm,Orange,,,6,est,,
IMG_4843:6,Caleb Williams,,Topps,Chrome,Xfractor,,,6,est,,
IMG_4845:1,Tim Tebow,2010,Topps,Chrome,,,,6,est,,
IMG_4848:1,Jaxson Dart,2025,Panini,Phoenix,,,,6,est,,
IMG_4848:7,Malik Nabers,2024,Panini,Prizm,Pink,,,6,est,,
IMG_4858:6,Brock Bowers,,Panini,Edge,Green,,,6,est,,
IMG_4859:5,Bo Nix,,Topps,Chrome,Xfractor,,,6,est,,
IMG_4860:1,Emeka Egbuka,2025,Panini,Prizm,,,,6,est,,
IMG_4860:2,Malaki Starks,2025,Panini,Select,,,,6,est,,
IMG_4865:3,Drake Maye,,Topps,Chrome,Xfractor,,,6,est,,
IMG_4870:1,Jalen Milroe,2025,Panini,Mosaic Notoriety,,,,6,est,,
IMG_4870:2,Oluwafemi Oladejo,2025,Panini,Absolute,,,,6,est,,
IMG_4870:5,AJ McCarron,,Panini,Prizm,,,,6,est,,
IMG_4871:3,Shedeur Sanders,2025,Panini,Mosaic Notoriety,,,,6,est,,
IMG_4872:4,Cam Skattebo,2025,Panini,Mosaic,Silver,,,6,est,,
IMG_4872:6,Bijan Robinson,,Panini,Select,,,,6,est,,
IMG_4873:2,C.J. Stroud,2023,Panini,Select,,,,6,est,,
IMG_4874:1,Abdul Carter,2025,Topps,Chrome Power Players,,,,6,est,,
IMG_4874:3,Michael Penix Jr.,,Topps,Chrome,Blue Refractor,,,6,est,,
IMG_4874:5,Travis Hunter,2025,Topps,Chrome Power Players,,,,6,est,,
IMG_4875:1,Cam Ward,2025,Topps,Chrome,Refractor,,,6,est,,
IMG_4875:3,Travis Hunter,2025,Donruss,Rookies (White Hot),,,,6,est,,
IMG_4875:4,Michael Penix Jr.,,Panini,Mosaic NFL Debut,Pink Camo,,,6,est,,
IMG_4891:1,Luther Burden III,2025,Panini,Prizm Prizmatic,,,,6,est,,
IMG_4891:2,Jalen McMillan,2024,Donruss,Optic Rated Rookie,Blue,,,6,est,,
IMG_4925:3,Tetairoa McMillan,2025,Topps,Rookie Wave,,,,6,est,,
IMG_4925:4,Pat Bryant,2025,Topps,Chrome,Xfractor,,,6,est,,
IMG_4925:5,Kaleb Johnson,2025,Topps,Chrome,,,,6,est,,
IMG_4925:6,Jalon Walker,2025,Donruss,Optic Rated Rookie,Pink,,,6,est,,
IMG_4926:1,DJ Giddens,2025,Donruss,Optic Rated Rookie,Pink,,,6,est,,
IMG_4926:4,Roschon Johnson,,Topps,Chrome,,,,6,est,,
IMG_4927:1,Bucky Irving,2024,Donruss,Optic Rated Rookie,,,,6,est,,
IMG_4927:3,Luther Burden III,2025,Panini,Elevate,,,,6,est,,
IMG_4927:4,Elijah Arroyo,2025,Topps,Chrome,,,,6,est,,
IMG_4927:6,Cam Ward,2025,Panini,Notoriety,,,,6,est,,
IMG_4928:4,Travis Hunter,2025,Panini,Mosaic Elevate,Blue,,,6,est,,
IMG_4928:6,Tyleik Williams,2025,Topps,Chrome,Xfractor,,,6,est,,
IMG_4929:2,Abdul Carter,2025,Panini,Mosaic Notoriety,,,,6,est,,
IMG_4930:2,Malaki Starks,2025,Topps,Chrome,Refractor,,,6,est,,
IMG_4931:1,Pat Bryant,2025,Topps,Chrome,,,,6,est,,
IMG_4931:2,Emeka Egbuka,2025,Panini,Prizm,,,,6,est,,
IMG_4931:5,Justin Herbert,2020,Panini,Mosaic,Red,,,6,est,,
IMG_4932:3,Shedeur Sanders,2025,Panini,Mosaic,Pink Camo,,,6,est,,
IMG_4932:4,Shedeur Sanders,2025,Panini,Mosaic,Green,,,6,est,,
IMG_4933:6,Matthew Golden,2025,Panini,Mosaic,Pink Camo,,,6,est,,
IMG_4933:8,Kaleb Johnson,2025,Panini,Mosaic,Pink Camo,,,6,est,,
IMG_4935:1,Caleb Williams,2024,Panini,Prizm,,,,6,est,,
IMG_4935:3,Ashton Jeanty,2025,Panini,Phoenix Thunderbirds,,,,6,est,,
IMG_4942:1,Emeka Egbuka,2025,Donruss,Optic Rated Rookie,Blue,,,6,est,,
IMG_4942:3,Shedeur Sanders,2025,Donruss,Optic Rated Rookie,Purple,,,6,est,,
IMG_4948:2,Tyler Warren,2025,Donruss,Optic Rated Rookie,,,,6,est,,
IMG_4948:5,Jaxson Dart,2025,Panini,Phoenix Paragon,,,,6,est,,
IMG_4950:2,Rome Odunze,2024,Panini,Absolute,,,,6,est,,
IMG_4950:3,Nick Emmanwori,2025,Donruss,Optic Rated Rookie,Blue,,,6,est,,
IMG_4836:1,Aaron Donald,,Panini,Prizm,Checkerboard,,,5,sticker,,
IMG_4837:1,Justin Jefferson,,Panini,Fuzion,,,,5,sticker,,
IMG_4841:6,Brock Purdy,,Panini,Mosaic National Pride,,,,5,sticker,,
IMG_4822:5,Sam Darnold,,Panini,Select,,,,3,est,,
IMG_4824:2,Jordan Davis,,Panini,Select,Zebra,,,3,est,,
IMG_4832:2,Amon-Ra St. Brown,,Panini,Prizm,Pink,,,3,est,,
IMG_4832:3,Robert Quinn,,Panini,Mosaic,Gold,,,3,est,,
IMG_4834:2,Dawson Knox,,Panini,Mosaic,Gold,,,3,est,,
IMG_4834:4,DK Metcalf,,Panini,Mosaic,Disco/Silver,,,3,est,,
IMG_4835:5,Terrell Davis,,Panini,Mosaic,Silver,,,3,est,,
IMG_4842:3,Justin Herbert,,Panini,Mosaic,Cracked Ice/Silver,,,3,est,,
IMG_4844:6,David Montgomery,,Panini,Select,Zebra,,,3,est,,
IMG_4848:3,George Kittle,,Panini,Mosaic Got Game?,Gold,,,3,est,,
IMG_4858:1,Garrett Wilson,,Panini,Mosaic England Games,Green,,,3,est,,
IMG_4859:3,DeMarcus Ware,,Panini,Prizm,Silver,,,3,est,,
IMG_4859:4,Terrell Davis,,Panini,Prizm,Red,,,3,est,,
IMG_4859:6,C.J. Stroud,,Donruss,Optic Light It Up,,,,3,est,,
IMG_4860:3,Drake Maye / Stefon Diggs,,Topps,Paramount Pairings,,,,3,est,,
IMG_4860:4,Bo Nix / Courtland Sutton,,Topps,Paramount Pairings,,,,3,est,,
IMG_4860:6,Drake Maye,,Topps,Total Touchdowns,,,,3,est,,
IMG_4865:2,Brock Bowers,,Panini,Mosaic Numbers Matter,,,,3,est,,
IMG_4865:5,Ladd McConkey,,Topps,Chrome,Gold Xfractor,,,3,est,,
IMG_4870:3,Travis Etienne Jr.,,Panini,Gridiron Kings,,,,3,est,,
IMG_4870:4,Anquan Boldin,,Panini,Prizm,,,,3,est,,
IMG_4870:6,CeeDee Lamb,,Panini,Mosaic,Pink Camo,,,3,est,,
IMG_4871:1,Saquon Barkley,,Topps,Chrome All-Chrome,,,,3,est,,
IMG_4871:2,Dak Prescott,,Panini,Select,Silver,,,3,est,,
IMG_4871:4,Larry Fitzgerald,,Panini,Mosaic Epic Performers,Green/Red,,,3,est,,
IMG_4871:5,Peyton Manning,,Panini,Mosaic Men of Mastery,,,,3,est,,
IMG_4871:6,Alvin Kamara,,Panini,Mosaic Overdrive,,,,3,est,,
IMG_4872:1,Derrick Henry,,Panini,Mosaic Notoriety,Silver,,,3,est,,
IMG_4872:2,Justin Herbert,,Panini,Mosaic,Pink Camo,,,3,est,,
IMG_4872:3,Kyler Murray,,Panini,Mosaic,Pink Camo,,,3,est,,
IMG_4872:5,Calvin Johnson,,Panini,Mosaic Touchdown Masters,,,,3,est,,
IMG_4873:3,Dak Prescott,,Panini,Mosaic,Pink Camo,,,3,est,,
IMG_4873:4,Larry Fitzgerald,,Panini,Mosaic Touchdown Masters,,,,3,est,,
IMG_4874:4,Trey McBride,,Topps,(Round 2 Pick 23),,,,3,est,,
IMG_4874:6,Josh Downs,,Topps,Chrome,Gold Xfractor,,,3,est,,
IMG_4875:5,C.J. Stroud / Nico Collins,,Donruss,Optic Bash Brothers,,,,3,est,,
IMG_4906:3,Travis Kelce,,Topps,Chrome,,,,3,est,,
IMG_4925:2,Lamar Jackson,,Topps,Chrome Power Players,,,,3,est,,
IMG_4926:2,Kerry Joseph,,Topps,Chrome (insert),Checkerboard,,,3,est,,
IMG_4926:3,Marquez Valdes-Scantling,,Topps,Chrome,Pink Xfractor,,,3,est,,
IMG_4926:5,Browns Rookie Premiere (Sanders/Judkins et al),2025,Panini,Absolute Introductions,,,,3,est,,
IMG_4927:2,Lane Johnson,,Topps,Chrome,Pink Xfractor,,,3,est,,
IMG_4928:1,Jayden Daniels,,Panini,Mosaic Touchdown Masters,,,,3,est,,
IMG_4928:2,CeeDee Lamb,,Topps,Chrome All-Chrome,,,,3,est,,
IMG_4928:3,Lane Johnson,,Topps,Chrome,,,,3,est,,
IMG_4928:5,Larry Fitzgerald,,Panini,Mosaic Men of Mastery,,,,3,est,,
IMG_4929:1,Brian Urlacher,,Panini,Mosaic Hall of Fame,Red,,,3,est,,
IMG_4929:3,Puka Nacua,,Panini,Mosaic Touchdown Masters,,,,3,est,,
IMG_4929:4,Myles Garrett,,Topps,Chrome,,,,3,est,,
IMG_4929:6,Travis Kelce,,Panini,Mosaic,Red,,,3,est,,
IMG_4930:1,Mark Ingram II,,Panini,Mosaic,Silver,,,3,est,,
IMG_4930:3,Derrick Henry,,Panini,Mosaic,Silver,,,3,est,,
IMG_4930:4,Micah McFadden,,Panini,Prizm,,,,3,est,,
IMG_4930:5,Rashod Bateman,,Panini,Prizm,,,,3,est,,
IMG_4931:3,Tee Higgins,,Topps,Chrome,Xfractor,,,3,est,,
IMG_4931:4,Lamar Jackson,,Panini,Mosaic Montage,,,,3,est,,
IMG_4931:6,Lamar Jackson,,Panini,Mosaic Pro Bowl,,,,3,est,,
IMG_4932:5,DeAndre Hopkins,,Donruss,Optic,,,,3,est,,
IMG_4932:6,Jahmyr Gibbs,,Panini,Mosaic Touchdown Masters,,,,3,est,,
IMG_4933:1,Lamar Jackson,,Panini,Mosaic Touchdown Masters,,,,3,est,,
IMG_4933:2,Antonio Gates,,Panini,Mosaic Hall of Fame,,,,3,est,,
IMG_4933:3,Kareem Hunt,,Panini,Mosaic,Pink Camo,,,3,est,,
IMG_4933:4,Brandon Aiyuk,,Topps,Chrome,,,,3,est,,
IMG_4933:5,Joe Namath,,Panini,Mosaic,Green,,,3,est,,
IMG_4933:7,Tim Brown,,Panini,Mosaic,Pink Camo,,,3,est,,
IMG_4935:2,Bo Nix,,Topps,Chrome,,,,3,est,,
IMG_4941:3,George Kittle,,Topps,Finest,Xfractor,,,3,est,,
IMG_4942:2,Trey McBride,,Topps,Chrome Cosmic,,,,3,est,,
IMG_4942:5,Christian McCaffrey,,Topps,Chrome,Pink Xfractor,,,3,est,,
IMG_4948:1,Myles Garrett,,Panini,Mosaic,Red,,,3,est,,
IMG_4950:1,Trent McDuffie,,Panini,Prizm,,,,3,est,,
IMG_4950:4,Larry Fitzgerald,,Panini,Mosaic Men of Mastery,White Sparkle,,,3,est,,
