Sport,Year,Brand,Set,CardNumber,Player,Team,Parallel_Attributes,Serial,GradingCompany,Grade,CertNumber,IsAuto,Quantity,ListPrice,PricingBasis,CompSource,ConditionNotes,SourcePhoto,ImageURL_pro,MarketplaceStatus
,,Donruss,Dominators,22,Christian McCaffrey,Panthers,Printing Plate Cyan,1/1,,,,,1,125.00,sticker,,printing plate; confirm player,IMG_4826,,UNLISTED
,,Panini,Rookies & Stars Airborne Signatures,13,Brock Purdy,49ers,,/99,,,,Y,1,125.00,comp,eBay,RC on-card auto /99 (confirmed auto),IMG_4826,,UNLISTED
,2023,Leaf,Metal Baseball Pre-Production Proof Prismatic Sky,,Pete Rose,Reds,Prismatic Sky,1/1,,,,Y,1,120.00,est,,1/1 auto,IMG_4817,,UNLISTED
,1968,Topps,Rookie Stars,247,Johnny Bench,Reds,,,SGC,1 PR,3505615,,1,100.00,comp,eBay,RC w/ Ron Tompkins,IMG_4818,,UNLISTED
,,Panini,Immaculate Brilliance,,Marek Houston,Twins,,07/10,,,,,1,100.00,sticker,,patch prospect,IMG_4828,,UNLISTED
,,Panini,Immaculate Collection,,James Wood,Nationals,,68/99,,,,Y,1,100.00,sticker,,RC patch auto,IMG_4830,,UNLISTED
,2019-20,Panini,Prizm,249,Ja Morant,Grizzlies,Fast Break Prizm,,PSA,10 GEM MT,46666142,,1,95.00,comp,SportsCardsPro / eBay,Rookie; Layup subset,IMG_4814,,UNLISTED
,,Topps,,89,Brock Bowers,Raiders,,,,,,Y,1,95.00,sticker,,RC patch auto,IMG_4825,,UNLISTED
,2014,Bowman,Platinum ('89 Bowman is Back),89BIB-MT,Mike Trout,Angels,Silver Diamond Refractor,,SGC,9 MT,7594381,,1,95.00,comp,eBay / COMC,facsimile sig,IMG_4901,,UNLISTED
,,Panini,Noir Shadow Signatures,,Cal Ripken Jr.,Orioles,,52/99,,,,Y,1,81.00,sticker,,,IMG_4819,,UNLISTED
,,Panini,Prizm,40,Mike Alstott,Buccaneers,,,,,,Y,1,80.00,sticker,,auto,IMG_4825,,UNLISTED
,,Panini,Spectra Spectacular Swatches,,Jamal Murray,Nuggets,,,,,,Y,1,76.00,sticker,,jersey auto,IMG_4816,,UNLISTED
,1998,Upper Deck,,23,Michael Jordan,Bulls,,,,,,,1,75.00,sticker,,UD insert w/ Penny quote; exact set TBD,IMG_4814,,UNLISTED
,1911,T205,Gold Border,,Michael J. Doolan,Phillies,,,PSA,1 PR,77091495,,1,75.00,comp,eBay / PSA APR,tobacco card,IMG_4818,,UNLISTED
,,Panini,Prospect,,Eli Willits,Nationals,,94/99,,,,Y,1,75.00,sticker,,jersey auto prospect,IMG_4819,,UNLISTED
,,Panini,National Treasures,,Kira Lewis Jr.,Pelicans,,10/25,,,,,1,75.00,sticker,,RC jumbo jersey patch,IMG_4820,,UNLISTED
,,Donruss,Phenom,12,Travis Hunter,Jaguars,,18/99,,,,Y,1,75.00,sticker,,RC patch auto,IMG_4822,,UNLISTED
,,Bowman,Chrome Prospects,,Travis Bazzana,Guardians,Orange,16/25,,,,,1,70.00,sticker,,prospect,IMG_4819,,UNLISTED
,,Panini,Flux,,Jalen Green,,,,PSA/DNA,Auto 10 GEM MT,84566325,Y,1,65.00,sticker,,RC on-card auto,IMG_4814,,UNLISTED
,,Panini/Donruss,Shock Wave,22,Franz Wagner,Magic,,,,,,,1,60.00,sticker,,insert,IMG_4815,,UNLISTED
,2023-24,Panini,Prizm Monopoly,,Victor Wembanyama,Spurs,Silver Prizm,,,,,,1,60.00,sticker,,RC,IMG_4816,,UNLISTED
,2025,Bowman,U Now Black Box,67,Fernando Mendoza,Indiana,,,PSA,10 GEM MT,10004475,,1,60.00,sticker,,college,IMG_4822,,UNLISTED
,2006,Topps,McDonald's All American,B19,Kevin Durant,USA,,,PSA,9 MINT,49006791,,1,60.00,est,,pre-RC HS,IMG_4851,,UNLISTED
,2006,Topps,McDonald's All American,B19,Kevin Durant,USA,,,PSA,9 MINT,49006800,,1,60.00,est,,pre-RC HS (2nd copy),IMG_4851,,UNLISTED
,2024,Topps,Cosmic Chrome Astrologically Aligned,AA-2,Aaron Judge,Yankees,,,SGC,9 MT,4629910,,1,60.00,comp,eBay / SportsCardsPro,,IMG_4901,,UNLISTED
,,Panini,Immaculate Collection,,Wei-En Lin,Athletics,,23/99,,,,Y,1,52.00,sticker,,jersey auto prospect,IMG_4819,,UNLISTED
,1961,Topps,,35,Ron Santo,Cubs,All-Star Rookie,,PSA,4 VG-EX,88486927,,1,50.00,comp,PSA APR,Rookie card,IMG_4817,,UNLISTED
,,Panini,Immaculate Collection,,Konnor Griffin,Pirates,,69/99,,,,,1,50.00,sticker,,jersey relic prospect,IMG_4817,,UNLISTED
,,Panini,Flawless Legendary Memorabilia,,Rickey Henderson,Athletics,,09/20,,,,,1,50.00,sticker,,patch,IMG_4819,,UNLISTED
,2025,Topps,Chrome (Round 1 Pick 10),84,Colston Loveland,Bears,,,,,,Y,1,50.00,sticker,,RC auto,IMG_4824,,UNLISTED
,2024,Topps,Archives Signature Series (2009 A&G buyback),,Scott Rolen,HOF,,07/10,,,,Y,1,50.00,est,,auto /10,IMG_4834,,UNLISTED
,2025,Wild Card,Psyched Alumination,,LaNorris Sellers,South Carolina,,1/3,,,,Y,1,50.00,est,,RC auto /3,IMG_4865,,UNLISTED
,,Wild Card,Card Club,15,Patrick Mahomes,Chiefs,,4/4,,,,,1,50.00,est,,/4,IMG_4874,,UNLISTED
,2025,Wild Card,Alumination,15,Drew Allar,Penn State,,2/5,,,,,1,50.00,est,,RC /5,IMG_4906,,UNLISTED
,2025,Topps,Chrome,4,Tetairoa McMillan,Panthers,,,,,,,1,45.00,sticker,,RC,IMG_4842,,UNLISTED
,1997-98,Topps,Chrome,115,Tim Duncan,Spurs,,,,,,,1,45.00,comp,Sports Card Investor / eBay,ROOKIE,IMG_4924,,UNLISTED
,,Topps,Game Day Drip,,Elly De La Cruz,Reds,,,,,,,1,44.50,sticker,,insert,IMG_4839,,UNLISTED
,,Topps,Inception,,Kevin Alcantara,Cubs,,25/49,,,,Y,1,41.00,sticker,,RC auto,IMG_4836,,UNLISTED
,,Panini,Mosaic,17,Davante Adams,Raiders,Gold,,,,,,1,40.00,sticker,,,IMG_4840,,UNLISTED
,,Topps,Fire (dual jersey auto),15,Ladd McConkey,Chargers,,,,,,Y,1,40.00,sticker,,RC jersey auto,IMG_4842,,UNLISTED
,2025,Topps,Chrome (Go Time Refractor),GT-3,Jayson Tatum,Celtics,Go Time Refractor,,PSA,9 MINT,149400582,,1,40.00,comp,SportsCardsPro / eBay,,IMG_4851,,UNLISTED
,1955,Bowman,,38,Early Wynn,Cleveland,,,SGC,4.5 VG/EX+,135387401,,1,38.00,sticker,,,IMG_4857,,UNLISTED
,,Panini,Mosaic,,Jalen Duren,Pistons,Disco,,,,,,1,36.00,sticker,,,IMG_4837,,UNLISTED
,,Topps,,9,Tony Parker,Spurs,,20/25,,,,Y,1,35.00,est,,Topps certified auto /25,IMG_4814,,UNLISTED
,,Panini,Impeccable Premium Silver,21,Tim Duncan,Spurs,1oz Silver,16/25,,,,,1,35.00,est,,silver bar card,IMG_4827,,UNLISTED
,2025,Panini,Rookies & Stars Draft Class,1,Ashton Jeanty,Raiders,Green,05/25,,,,,1,35.00,est,,RC,IMG_4833,,UNLISTED
,,Donruss,Optic Hyper,,Donovan Mitchell,Cavaliers,Hyper,,,,,,1,35.00,sticker,,,IMG_4838,,UNLISTED
,,Panini,Immaculate Collection,,Kevin Alcantara,Cubs,,06/25,,,,Y,1,35.00,sticker,,patch auto,IMG_4841,,UNLISTED
,,Panini,America's Pastime Boys of Summer,,Steve Carlton,Phillies,,20/25,,,,Y,1,35.00,est,,,IMG_4845,,UNLISTED
,,Topps,Gilded Collection,,Rod Carew,Twins,,,,,,Y,1,35.00,sticker,,framed auto,IMG_4847,,UNLISTED
,,Wild Card,Alumination,,Dak Prescott,Cowboys,Orange,6/20,,,,,1,35.00,est,,/20,IMG_4875,,UNLISTED
,,Panini,Limited Marquee Prints,55,Roy Hibbert,Pacers,,02/25,,,,,1,35.00,est,,,IMG_4876,,UNLISTED
,2025,Signature Series,,11,Christian Collins,,,09/25,,,,,1,35.00,est,,RC; confirm team,IMG_4883,,UNLISTED
,,Panini,Limited,11,Mike Conley,Grizzlies,,19/25,,,,,1,35.00,est,,sealed,IMG_4922,,UNLISTED
,,Topps,Finest,82,Dante Hall,Chiefs,Red,06/25,,,,Y,1,35.00,est,,"auto /25, sealed",IMG_4935,,UNLISTED
,,Panini,Immaculate Collection,94,Luis Pena,Brewers,,20/25,,,,,1,35.00,est,,prospect,IMG_4938,,UNLISTED
,,Panini,Limited Phenoms Jersey Autographs,,Mavericks rookie (confirm),Mavericks,,19/25,,,,Y,1,35.00,est,,confirm player,IMG_4940,,UNLISTED
,,Panini,Immaculate Collection,,Cameron Schlittler,Yankees,,18/25,,,,,1,35.00,est,,prospect,IMG_4945,,UNLISTED
,2022,Panini,Select,58,Amon-Ra St. Brown,Lions,Tri-Color Prizm,37/249,SGC,10,1304949,,1,34.00,sticker,,,IMG_4855,,UNLISTED
,2025,Topps,Inception,4,Sion James,Hornets,,08/10,,,,Y,1,30.00,sticker,,RC auto /10,IMG_4837,,UNLISTED
,,Panini,Select,11,Jalen Brunson,Knicks,,,,,,,1,30.00,sticker,,,IMG_4838,,UNLISTED
,,Panini,Limited Phenoms Jersey Autographs,,Lakers rookie (confirm),Lakers,,45/49,,,,Y,1,30.00,sticker,,confirm player,IMG_4839,,UNLISTED
,2020,Panini,Prizm,258,Anthony Edwards,Timberwolves,,,PSA,9 MINT,92981922,,1,30.00,comp,Sports Card Investor / eBay,RC,IMG_4851,,UNLISTED
,1991-92,Upper Deck,,2,Larry Johnson,Hornets,,,BGS,10 Auth Auto,00019509597,Y,1,30.00,sticker,,RC auto,IMG_4851,,UNLISTED
,2024,Panini,Select,64,Earl Campbell,Oilers,White Shock,,SGC,9 MINT,13841571,,1,30.00,sticker,,,IMG_4855,,UNLISTED
,,Topps,(Round 1 Pick 11),,Cedric Coward,Grizzlies,,,,,,Y,1,28.00,sticker,,RC auto,IMG_4836,,UNLISTED
,2015-16,Panini,Select Rookie Jersey Autographs,5,Kristaps Porzingis,Knicks,,,BGS,9.5 GEM MINT,0011376682,Y,1,25.00,est,,RC patch auto,IMG_4815,,UNLISTED
,,Upper Deck,Opening Day 2K,,Sammy Sosa,Cubs,,,PSA/DNA,Auth Auto,85892199,Y,1,25.00,est,,,IMG_4817,,UNLISTED
,,Bowman,,,Vladimir Guerrero Jr.,Blue Jays,,,BGS,Auth Auto,00019742049,Y,1,25.00,est,,,IMG_4817,,UNLISTED
,1992,Bowman,,461,Mike Piazza,Dodgers,,,PSA,9 MINT,158041913,,1,25.00,est,,Rookie,IMG_4818,,UNLISTED
,2024,Topps,Resurgence,RPAJD,Jayden Daniels,Commanders,Rookie Patch Auto,,PSA,9 MINT,128161736,Y,1,25.00,est,,RC patch auto,IMG_4822,,UNLISTED
,,Custom,Kaboom!,,James Cook,Bills,,,BGS,Auth Auto,00020189746,Y,1,25.00,est,,FLAG: Beckett slab labels card COUNTERFEIT (custom Kaboom); auto authentic only - disclose/likely cannot list on major m,IMG_4823,,UNLISTED
,,Custom,Kaboom!,,James Cook,Bills,,,BGS,Auth Auto,00020189590,Y,1,25.00,est,,FLAG: Beckett slab labels card COUNTERFEIT (custom Kaboom); auto authentic only - disclose/likely cannot list on major m,IMG_4823,,UNLISTED
,,Pro Set,NFL,99,Dan Hampton,Bears,,,PSA/DNA,Auth Auto,85843496,Y,1,25.00,est,,,IMG_4823,,UNLISTED
,2025,Panini,Phoenix,189,Isaac TeSlaa,Lions,Silver,,CGC,10 GEM MINT,6115924042,,1,25.00,est,,RC,IMG_4823,,UNLISTED
,,Custom,Booom!,50,Mike Singletary,Bears,,,BGS,Auth Auto,00019911771,Y,1,25.00,est,,FLAG: Beckett labels CUSTOM trading card; auto authentic - disclose,IMG_4825,,UNLISTED
,1990,Score,All Pro,56,Lawrence Taylor,Giants,,,PSA/DNA,Auth Auto,85822953,Y,1,25.00,est,,,IMG_4825,,UNLISTED
,,Upper Deck,SP Premier Prospects,,Jason Kidd,,,,PSA/DNA,Auto 10 GEM MT,85138168,Y,1,25.00,est,,,IMG_4827,,UNLISTED
,1996-97,Topps,Stadium Club,,Kobe Bryant,Lakers,,,,,,,1,25.00,comp,Sports Card Investor,Rookie,IMG_4828,,UNLISTED
,1993,Classic,Four Sport All-Rookie Team,,Shaquille O'Neal,LSU,,,PSA/DNA,Auth Auto,85823112,Y,1,25.00,est,,,IMG_4828,,UNLISTED
,,Panini,Prizm,3,OG Anunoby,Raptors,Gold,,,,,,1,25.00,sticker,,,IMG_4835,,UNLISTED
,,Panini,Immaculate Collection Marks,,Eduardo Tait,Twins,,07/10,,,,Y,1,25.00,sticker,,prospect auto /10,IMG_4836,,UNLISTED
,,Donruss,Optic Rated Rookie,0,Keon Coleman,Bills,,,,,,Y,1,25.00,sticker,,RC auto,IMG_4837,,UNLISTED
,,Panini,Select Signatures,,Dylan Crews,Nationals,,,,,,Y,1,25.00,sticker,,,IMG_4839,,UNLISTED
,2010,Topps,Triple Threads,,Dexter McCluster,Chiefs,,53/70,,,,Y,1,25.00,sticker,,RC patch auto,IMG_4839,,UNLISTED
,,Donruss,Artist Proof,32,Josh Hamilton,Rangers,Artist Proof,,,,,,1,25.00,sticker,,,IMG_4841,,UNLISTED
,2013,Topps,,,Travis Kelce,Chiefs,,,,,,,1,25.00,sticker,,RC-era; confirm exact set,IMG_4842,,UNLISTED
,2025,Signature Series,Class Masters,28,Hugo Gonzalez,Celtics,Blue,19/25,,,,,1,25.00,sticker,,RC,IMG_4846,,UNLISTED
,,Panini,Origins Rookie Jumbo Jersey Autographs,,Keon Coleman,Bills,,,,,,Y,1,25.00,sticker,,RC jumbo jersey auto,IMG_4849,,UNLISTED
,,Panini,Signature,44,Dallas Clark,Colts,,,,,,Y,1,25.00,sticker,,,IMG_4849,,UNLISTED
,2005,In The Game,Heroes & Prospects (Hot Prospects),361,Sidney Crosby,Rimouski,,,PSA,10 GEM MT,63717486,,1,25.00,comp,eBay / getcardbase,hockey pre-RC,IMG_4850,,UNLISTED
,2024-25,Topps,UCC,76,Christian Pulisic,AC Milan,Neon Green Foil,30/199,SGC,9.5,9852245,,1,25.00,est,,soccer,IMG_4850,,UNLISTED
,1976,Topps,,115,Bryan Trottier,Islanders,,,PSA,6 EX-MT,53572138,,1,25.00,est,,hockey RC,IMG_4850,,UNLISTED
,1974,Topps,,161,Don Cherry,Bruins,,,PSA,5 EX,140007639,,1,25.00,est,,hockey,IMG_4850,,UNLISTED
,2019-20,Panini,Mosaic (NBA Debut),264,Coby White,Bulls,Reactive Blue,,PSA,10 GEM MT,80262244,,1,25.00,est,,RC,IMG_4851,,UNLISTED
,2024,Topps,Disney Chrome Sapphire,18,Fairy Godmother,Disney,Sapphire,,PSA,9 MINT,143570700,,1,25.00,est,,non-sport,IMG_4852,,UNLISTED
,2022,Topps,Chrome Sapphire F1,34,Lando Norris,McLaren,Sapphire,,CGC,10 GEM MINT,6122187113,,1,25.00,est,,F1,IMG_4852,,UNLISTED
,2025,Pokemon,Black Star Promos (Mega Charizard X ex UPC),024,Oricorio ex,Pokemon,,,CGC,9 MINT,6113873025,,1,25.00,est,,Pokemon TCG,IMG_4852,,UNLISTED
,1977,Topps,,650,Nolan Ryan,Angels,,,PSA,4 VG-EX,76765292,,1,25.00,sticker,,,IMG_4853,,UNLISTED
,1960,Topps,,264,Robin Roberts,Phillies,,,PSA,4 VG-EX,126493881,,1,25.00,est,,,IMG_4853,,UNLISTED
,1975,Topps,,180,Joe Morgan,Reds,,,SGC,7 NM,0507280,,1,25.00,est,,,IMG_4853,,UNLISTED
,2024,Topps,Now,778,Bobby Witt Jr.,Royals,,,SGC,10 GEM,2901548,,1,25.00,est,,,IMG_4853,,UNLISTED
,1975,Topps,,223,Robin Yount,Brewers,,,SGC,5 EX,0452044,,1,25.00,est,,2nd year,IMG_4853,,UNLISTED
,2022,Donruss,Press Proof Premium,237,Christian McCaffrey,Panthers,Press Proof Premium,,CGC,10 GEM MINT,6120395083,,1,25.00,est,,,IMG_4854,,UNLISTED
,2025,Panini,Mosaic,305,Cam Skattebo,Giants,Red Camo,,PSA,9 MINT,146074542,,1,25.00,est,,RC,IMG_4854,,UNLISTED
,,Custom,Boom,2,Johnny Manziel,Texas A&M,,,BGS,Witnessed Auth Auto,00019976760,Y,1,25.00,est,,FLAG: Beckett labels CUSTOM card; witnessed auto - disclose,IMG_4855,,UNLISTED
,,Custom,Boom,2,Johnny Manziel,Texas A&M,,,BGS,Witnessed Auth Auto,00019976761,Y,1,25.00,est,,FLAG: Beckett labels CUSTOM card; witnessed auto - disclose (2nd copy),IMG_4855,,UNLISTED
,,Custom,Boom!,93,Gilbert Brown,Packers,,,BGS,Witnessed Auth Auto,00019565367,Y,1,25.00,est,,FLAG: Beckett labels CUSTOM card; witnessed auto - disclose,IMG_4855,,UNLISTED
,1991,Hoops,McDonald's,55,Michael Jordan,USA,,,PSA,8 NM-MT,87363314,,1,25.00,est,,1992 Dream Team,IMG_4856,,UNLISTED
,2024,Topps,Chrome Update,USC57,Jackson Merrill,Padres,X-Fractor,,PSA,9 MINT,102695586,,1,25.00,est,,RC,IMG_4857,,UNLISTED
,1987,Topps,Tiffany,340,Roger Clemens,Red Sox,,,PSA,8 NM-MT,49021311,,1,25.00,est,,,IMG_4857,,UNLISTED
,2025,Donruss,Season Stat Line,49,Jayden Reed,Packers,Pink,413/500,CGC,10 GEM MINT,6129034287,,1,25.00,est,,,IMG_4900,,UNLISTED
,,Topps,,34,Ricky Williams,Dolphins,,,,,,Y,1,24.00,sticker,,,IMG_4841,,UNLISTED
,,Topps,Midnight,,Will Riley,Wizards,,,,,,Y,1,23.50,sticker,,RC jersey auto,IMG_4836,,UNLISTED
,2025,Topps,Chrome Fortune,10,Luther Burden III,Bears,Spade,36/50,,,,,1,23.00,sticker,,RC,IMG_4838,,UNLISTED
,,Topps,Fire,,Paul Goldschmidt,Cardinals,,,,,,Y,1,22.00,sticker,,,IMG_4837,,UNLISTED
,,Panini,Immaculate INK,,Dax Kilby,,,11/99,,,,Y,1,21.00,sticker,,prospect auto,IMG_4838,,UNLISTED
,2025,Leaf,Metal,,Ace Bailey,,,,,,,Y,1,20.00,est,,RC auto,IMG_4814,,UNLISTED
,,Panini,Recon,7,Chet Holmgren,Thunder,,18/75,,,,Y,1,20.00,est,,Rookie auto /75,IMG_4815,,UNLISTED
,,Panini,Chronicled Calligraphy,,Jack Morris,Tigers,,,,,,Y,1,20.00,est,,patch auto,IMG_4817,,UNLISTED
,,Topps,Pristine Perseverance,,Willie Mays,Giants,Gold,12/50,,,,,1,20.00,est,,,IMG_4819,,UNLISTED
,,Bowman,Platinum,,Jarren Duran,Red Sox,,72/199,,,,Y,1,20.00,est,,,IMG_4821,,UNLISTED
,2020,Panini,XR Triple Swatch Autographs,,Jalen Hurts,Eagles,,,,,,Y,1,20.00,est,,RC patch auto; confirm player ID,IMG_4824,,UNLISTED
,,Topps,,13,Dan Marino,Dolphins,,,,,,Y,1,20.00,est,,certified auto issue,IMG_4825,,UNLISTED
,2025,Panini,Signature Series (Signature Stats Cracked Ice) REDEMPTION,1,Allen Iverson,76ers,Cracked Ice,,,,,Y,1,20.00,est,,"UNREDEEMED redemption, expires 11/27/2027",IMG_4828,,UNLISTED
,,Leaf,Toast of the Town Sports Heroes,23,Ryne Sandberg,Cubs,Gold die-cut,,,,,Y,1,20.00,est,,,IMG_4830,,UNLISTED
,,Topps,Chrome (insert),50,David Robinson,Spurs,,64/99,,,,,1,20.00,est,,,IMG_4831,,UNLISTED
,2010,Panini,Prestige Draft,15,Tim Tebow,Broncos,,,,,,Y,1,20.00,est,,RC auto,IMG_4831,,UNLISTED
,,Leaf,Metal Signature Series,99,Warren Sapp,Buccaneers,,,,,,Y,1,20.00,est,,,IMG_4832,,UNLISTED
,,Panini,Recon,,Nikola Vucevic,Bulls,Red,76/99,,,,Y,1,20.00,est,,,IMG_4832,,UNLISTED
,,Panini,Illusions Rookie Vision,14,George Pickens,Steelers,,,,,,Y,1,20.00,est,,RC auto,IMG_4832,,UNLISTED
,,Donruss,Rated Rookie,,J.J. McCarthy,Vikings,,,,,,Y,1,20.00,est,,RC auto,IMG_4833,,UNLISTED
,,Panini,Gold Standard,0,Keon Coleman,Bills,,039/199,,,,Y,1,20.00,est,,RC auto,IMG_4833,,UNLISTED
,,Panini,Absolute,32,David Montgomery,Bears,,13/75,,,,Y,1,20.00,est,,RC auto,IMG_4834,,UNLISTED
,,Leaf,Metal,91,Steven Stamkos,Lightning,Red,,,,,Y,1,20.00,est,,hockey,IMG_4835,,UNLISTED
,,Upper Deck,Stature,,Nikita Kucherov,Lightning,,,,,,Y,1,20.00,est,,hockey,IMG_4835,,UNLISTED
,,Panini,Impeccable Elegance,,Brooks Lee,Twins,,49/99,,,,Y,1,20.00,sticker,,patch auto,IMG_4837,,UNLISTED
,,Panini,Immaculate (dual jersey auto),,Max Anderson,Tigers,,75/99,,,,Y,1,20.00,sticker,,prospect,IMG_4839,,UNLISTED
,,Panini,Mosaic Pictographs,,Tim Hardaway,Warriors,,,,,,Y,1,20.00,est,,,IMG_4840,,UNLISTED
,2025,Topps,Chrome,10,Quinshon Judkins,Browns,Blue,117/150,,,,Y,1,20.00,est,,RC auto,IMG_4840,,UNLISTED
,,Topps,(Turkey Red style),,Willie Mays,Giants,Gold,,,,,,1,20.00,sticker,,,IMG_4841,,UNLISTED
,,Topps,(Turkey Red/Heritage style),,Hank Aaron,Braves,,,,,,,1,20.00,sticker,,,IMG_4842,,UNLISTED
,,Panini,Prizm Sensations Signatures,,Jerry Lawler,WWE,Red,,,,,Y,1,20.00,est,,,IMG_4843,,UNLISTED
,,Bowman,,21,Caleb Bonemer,White Sox,,,,,,Y,1,20.00,est,,prospect auto,IMG_4844,,UNLISTED
,,Panini,One Prime,,Obi Toppin,Knicks,,32/99,,,,Y,1,20.00,est,,RC patch auto,IMG_4844,,UNLISTED
,,Donruss,Rated Rookie,3,Jordan Addison,Vikings,,083/175,,,,Y,1,20.00,est,,RC auto,IMG_4844,,UNLISTED
,2025,Topps,Chrome,8,Omarion Hampton,Chargers,,109/499,,,,Y,1,20.00,est,,RC auto,IMG_4845,,UNLISTED
,,Panini,National Treasures Century Materials,,Dak Prescott,Cowboys,,38/49,,,,,1,20.00,est,,patch,IMG_4845,,UNLISTED
,2020,Panini,Contenders Rookie Ticket,86,Michael Pittman Jr.,Colts,,,,,,Y,1,20.00,est,,RC auto,IMG_4845,,UNLISTED
,2025,Topps,(Round 1 Pick),24,Spurs rookie (confirm - sig 'Deo Ver'),Spurs,,,,,,Y,1,20.00,est,,RC auto; confirm player,IMG_4846,,UNLISTED
,,Topps,Triple Threads (750),,Justin Verlander,Tigers,,24/36,,,,,1,20.00,est,,jersey,IMG_4847,,UNLISTED
,,Panini,Contenders Conference Ticket,,Alec Pierce,Colts,,,,,,Y,1,20.00,est,,RC auto,IMG_4848,,UNLISTED
,2025,Fut/Leaf,Players Trove,33,Jack Sawyer,Steelers,,,,,,Y,1,20.00,est,,RC auto (college Ohio St),IMG_4848,,UNLISTED
,2024,Topps,Chrome,,Xavier Worthy,Chiefs,,017/100,,,,Y,1,20.00,est,,RC auto,IMG_4848,,UNLISTED
,,Panini,Plates & Patches Marquee Marks,,Kenyan Drake,Cardinals,,32/50,,,,Y,1,20.00,est,,,IMG_4858,,UNLISTED
,2025,Leaf,Metal Matte,,Ashton Jeanty,Raiders,Matte,39/50,,,,,1,20.00,est,,RC (college),IMG_4858,,UNLISTED
,,Panini,Limited Decade Dominance,2,Alex English,Nuggets,,50/99,,,,,1,20.00,est,,jersey,IMG_4861,,UNLISTED
,,Panini,NBA Hoops Live,25,Ajay Mitchell,Thunder,,,,,,Y,1,20.00,est,,RC auto,IMG_4861,,UNLISTED
,,Panini,Limited Rookie Phenoms,,Henry Ellenson,Pistons,,/99,,,,Y,1,20.00,est,,RC jersey auto,IMG_4861,,UNLISTED
,,Donruss,Crunch Time,5,Jacob Wilson,Athletics,Blue,09/49,,,,,1,20.00,est,,RC,IMG_4862,,UNLISTED
,2025,Topps,Chrome Black,94,Mason Graham,Browns,,,,,,Y,1,20.00,est,,RC auto,IMG_4865,,UNLISTED
,,Donruss,Elite Career Best,,Jimmy Rollins,Phillies,Green,95/99,,,,,1,20.00,est,,,IMG_4868,,UNLISTED
,,Panini,Limited,,Buddy Hield,Pelicans,,04/49,,,,Y,1,20.00,est,,RC jersey auto,IMG_4877,,UNLISTED
,2024,Panini,NBA Hoops Live,23,Jamal Shead,Raptors,,,,,,Y,1,20.00,est,,RC auto,IMG_4878,,UNLISTED
