rank,value_usd,pricing_basis,comp_source,player,year,brand,set,parallel,serial,graded,cert,auto,team,card_no,sticker_price,photo,slot,needs_more,comp_note,notes
11,170.00,comp,eBay,Victor Wembanyama,2023-24,Panini,Phoenix Thrillers,Silver,,BGS 8.5 NM-MT+,0018110860,,Spurs,2,170,IMG_4827,4,,Thrillers Silver BGS 8.5 - thin comps; sticker $170 kept,RC
12,150.00,est,,Patrick Mahomes II,2017,Sage,Hit Premier Draft,,,PSA 10 GEM MT,66845496,,Chiefs,5,,IMG_4822,1,,,Rookie (college)
13,140.00,comp,PSA APR / eBay,Gale Sayers,1969,Topps,,,,PSA 8 NM-MT (MC),94307073,,Bears,51,,IMG_4826,5,,"PSA 7 sold ~$160, but yours is 8(MC) miscut qualifier - sells below clean 8",
14,130.00,sticker,,Noah Schultz,,Panini,Immaculate (Batting Gloves),Nike swoosh patch,2/5,raw,,,White Sox,,130,IMG_4828,5,,,prospect
15,125.00,sticker,,Christian McCaffrey,,Donruss,Dominators,Printing Plate Cyan,1/1,raw,,,Panthers,22,125,IMG_4826,2,Y,,printing plate; confirm player
16,125.00,comp,eBay,Brock Purdy,,Panini,Rookies & Stars Airborne Signatures,,/99,raw,,Y,49ers,13,390,IMG_4826,6,,Airborne Signatures /99 auto listings $50-225. Sticker $390 is HIGH; realistic ~$100-150.,RC on-card auto /99 (confirmed auto)
17,120.00,est,,Pete Rose,2023,Leaf,Metal Baseball Pre-Production Proof Prismatic Sky,Prismatic Sky,1/1,raw,,Y,Reds,,,IMG_4817,5,,,1/1 auto
18,100.00,comp,eBay,Johnny Bench,1968,Topps,Rookie Stars,,,SGC 1 PR,3505615,,Reds,247,,IMG_4818,3,,SGC 1.5 sold $109.50 (Aug); SGC 1 ~$90-110,RC w/ Ron Tompkins
19,100.00,sticker,,Marek Houston,,Panini,Immaculate Brilliance,,07/10,raw,,,Twins,,100,IMG_4828,6,,,patch prospect
20,100.00,sticker,,James Wood,,Panini,Immaculate Collection,,68/99,raw,,Y,Nationals,,100,IMG_4830,1,,,RC patch auto
21,95.00,comp,SportsCardsPro / eBay,Ja Morant,2019-20,Panini,Prizm,Fast Break Prizm,,PSA 10 GEM MT,46666142,,Grizzlies,249,95,IMG_4814,1,,Fast Break base PSA 10 ~$80-120; sticker $95 reasonable,Rookie; Layup subset
22,95.00,sticker,,Brock Bowers,,Topps,,,,raw,,Y,Raiders,89,95,IMG_4825,7,,,RC patch auto
23,95.00,comp,eBay / COMC,Mike Trout,2014,Bowman,Platinum ('89 Bowman is Back),Silver Diamond Refractor,,SGC 9 MT,7594381,,Angels,89BIB-MT,,IMG_4901,3,,PSA 9 ~$100; SGC 9 slightly under,facsimile sig
24,81.00,sticker,,Cal Ripken Jr.,,Panini,Noir Shadow Signatures,,52/99,raw,,Y,Orioles,,81,IMG_4819,3,,,
25,80.00,sticker,,Mike Alstott,,Panini,Prizm,,,raw,,Y,Buccaneers,40,80,IMG_4825,5,,,auto
26,76.00,sticker,,Jamal Murray,,Panini,Spectra Spectacular Swatches,,,raw,,Y,Nuggets,,76,IMG_4816,1,,,jersey auto
27,75.00,sticker,,Michael Jordan,1998,Upper Deck,,,,raw,,,Bulls,23,75,IMG_4814,3,Y,,UD insert w/ Penny quote; exact set TBD
28,75.00,comp,eBay / PSA APR,Michael J. Doolan,1911,T205,Gold Border,,,PSA 1 PR,77091495,,Phillies,,,IMG_4818,4,,"PSA 1.5 listed $160, raw VG $150; PSA 1 Poor ~$60-90",tobacco card
29,75.00,sticker,,Eli Willits,,Panini,Prospect,,94/99,raw,,Y,Nationals,,75,IMG_4819,6,,,jersey auto prospect
30,75.00,sticker,,Kira Lewis Jr.,,Panini,National Treasures,,10/25,raw,,,Pelicans,,75,IMG_4820,2,,,RC jumbo jersey patch
31,75.00,sticker,,Travis Hunter,,Donruss,Phenom,,18/99,raw,,Y,Jaguars,12,75,IMG_4822,6,,,RC patch auto
32,70.00,sticker,,Travis Bazzana,,Bowman,Chrome Prospects,Orange,16/25,raw,,,Guardians,,70,IMG_4819,5,,,prospect
33,65.00,sticker,,Jalen Green,,Panini,Flux,,,PSA/DNA Auto 10 GEM MT,84566325,Y,,,65,IMG_4814,2,,,RC on-card auto
34,60.00,sticker,,Franz Wagner,,Panini/Donruss,Shock Wave,,,raw,,,Magic,22,60,IMG_4815,1,,,insert
35,60.00,sticker,,Victor Wembanyama,2023-24,Panini,Prizm Monopoly,Silver Prizm,,raw,,,Spurs,,60,IMG_4816,4,,,RC
36,60.00,sticker,,Fernando Mendoza,2025,Bowman,U Now Black Box,,,PSA 10 GEM MT,10004475,,Indiana,67,60,IMG_4822,4,,,college
37,60.00,est,,Kevin Durant,2006,Topps,McDonald's All American,,,PSA 9 MINT,49006791,,USA,B19,,IMG_4851,6,,,pre-RC HS
38,60.00,est,,Kevin Durant,2006,Topps,McDonald's All American,,,PSA 9 MINT,49006800,,USA,B19,,IMG_4851,8,,,pre-RC HS (2nd copy)
39,60.00,comp,eBay / SportsCardsPro,Aaron Judge,2024,Topps,Cosmic Chrome Astrologically Aligned,,,SGC 9 MT,4629910,,Yankees,AA-2,,IMG_4901,2,,Cosmic AA-2 SGC 9 thin; ~$50-70,
40,52.00,sticker,,Wei-En Lin,,Panini,Immaculate Collection,,23/99,raw,,Y,Athletics,,52,IMG_4819,2,,,jersey auto prospect
41,50.00,comp,PSA APR,Ron Santo,1961,Topps,,All-Star Rookie,,PSA 4 VG-EX,88486927,,Cubs,35,,IMG_4817,1,,PSA 2 sold ~$23; PSA 4 ~$45-60,Rookie card
42,50.00,sticker,,Konnor Griffin,,Panini,Immaculate Collection,,69/99,raw,,,Pirates,,50,IMG_4817,3,,,jersey relic prospect
43,50.00,sticker,,Rickey Henderson,,Panini,Flawless Legendary Memorabilia,,09/20,raw,,,Athletics,,50,IMG_4819,4,,,patch
44,50.00,sticker,,Colston Loveland,2025,Topps,Chrome (Round 1 Pick 10),,,raw,,Y,Bears,84,50,IMG_4824,5,,,RC auto
45,50.00,est,,Scott Rolen,2024,Topps,Archives Signature Series (2009 A&G buyback),,07/10,raw,,Y,HOF,,,IMG_4834,1,,,auto /10
46,50.00,est,,LaNorris Sellers,2025,Wild Card,Psyched Alumination,,1/3,raw,,Y,South Carolina,,,IMG_4865,4,,,RC auto /3
47,50.00,est,,Patrick Mahomes,,Wild Card,Card Club,,4/4,raw,,,Chiefs,15,,IMG_4874,2,,,/4
48,50.00,est,,Drew Allar,2025,Wild Card,Alumination,,2/5,raw,,,Penn State,15,,IMG_4906,5,,,RC /5
49,45.00,sticker,,Tetairoa McMillan,2025,Topps,Chrome,,,raw,,,Panthers,4,45,IMG_4842,5,,,RC
50,45.00,comp,Sports Card Investor / eBay,Tim Duncan,1997-98,Topps,Chrome,,,raw,,,Spurs,115,,IMG_4924,2,,"BASE raw ~$42. If REFRACTOR, ~$750 - VERIFY finish",ROOKIE
51,44.50,sticker,,Elly De La Cruz,,Topps,Game Day Drip,,,raw,,,Reds,,44.5,IMG_4839,5,,,insert
52,41.00,sticker,,Kevin Alcantara,,Topps,Inception,,25/49,raw,,Y,Cubs,,41,IMG_4836,4,,,RC auto
53,40.00,sticker,,Davante Adams,,Panini,Mosaic,Gold,,raw,,,Raiders,17,40,IMG_4840,2,,,
54,40.00,sticker,,Ladd McConkey,,Topps,Fire (dual jersey auto),,,raw,,Y,Chargers,15,40,IMG_4842,2,,,RC jersey auto
55,40.00,comp,SportsCardsPro / eBay,Jayson Tatum,2025,Topps,Chrome (Go Time Refractor),Go Time Refractor,,PSA 9 MINT,149400582,,Celtics,GT-3,,IMG_4851,2,,"2025-26 Go Time insert PSA 9 ~$30-50 (new, thin comps)",
56,38.00,sticker,,Early Wynn,1955,Bowman,,,,SGC 4.5 VG/EX+,135387401,,Cleveland,38,38,IMG_4857,4,,,
57,36.00,sticker,,Jalen Duren,,Panini,Mosaic,Disco,,raw,,,Pistons,,36,IMG_4837,6,,,
58,35.00,est,,Tony Parker,,Topps,,,20/25,raw,,Y,Spurs,9,,IMG_4814,6,,,Topps certified auto /25
59,35.00,est,,Tim Duncan,,Panini,Impeccable Premium Silver,1oz Silver,16/25,raw,,,Spurs,21,,IMG_4827,2,,,silver bar card
60,35.00,est,,Ashton Jeanty,2025,Panini,Rookies & Stars Draft Class,Green,05/25,raw,,,Raiders,1,,IMG_4833,3,,,RC
61,35.00,sticker,,Donovan Mitchell,,Donruss,Optic Hyper,Hyper,,raw,,,Cavaliers,,35,IMG_4838,2,,,
62,35.00,sticker,,Kevin Alcantara,,Panini,Immaculate Collection,,06/25,raw,,Y,Cubs,,35,IMG_4841,3,,,patch auto
63,35.00,est,,Steve Carlton,,Panini,America's Pastime Boys of Summer,,20/25,raw,,Y,Phillies,,,IMG_4845,4,,,
64,35.00,sticker,,Rod Carew,,Topps,Gilded Collection,,,raw,,Y,Twins,,35,IMG_4847,3,,,framed auto
65,35.00,est,,Dak Prescott,,Wild Card,Alumination,Orange,6/20,raw,,,Cowboys,,,IMG_4875,2,,,/20
66,35.00,est,,Roy Hibbert,,Panini,Limited Marquee Prints,,02/25,raw,,,Pacers,55,,IMG_4876,4,,,
67,35.00,est,,Christian Collins,2025,Signature Series,,,09/25,raw,,,,11,,IMG_4883,5,Y,,RC; confirm team
68,35.00,est,,Mike Conley,,Panini,Limited,,19/25,raw,,,Grizzlies,11,,IMG_4922,3,,,sealed
69,35.00,est,,Dante Hall,,Topps,Finest,Red,06/25,raw,,Y,Chiefs,82,,IMG_4935,4,,,"auto /25, sealed"
70,35.00,est,,Luis Pena,,Panini,Immaculate Collection,,20/25,raw,,,Brewers,94,,IMG_4938,2,,,prospect
71,35.00,est,,Mavericks rookie (confirm),,Panini,Limited Phenoms Jersey Autographs,,19/25,raw,,Y,Mavericks,,,IMG_4940,1,Y,,confirm player
72,35.00,est,,Cameron Schlittler,,Panini,Immaculate Collection,,18/25,raw,,,Yankees,,,IMG_4945,1,,,prospect
73,34.00,sticker,,Amon-Ra St. Brown,2022,Panini,Select,Tri-Color Prizm,37/249,SGC 10,1304949,,Lions,58,34,IMG_4855,4,,,
74,30.00,sticker,,Sion James,2025,Topps,Inception,,08/10,raw,,Y,Hornets,4,30,IMG_4837,2,,,RC auto /10
75,30.00,sticker,,Jalen Brunson,,Panini,Select,,,raw,,,Knicks,11,30,IMG_4838,4,,,
76,30.00,sticker,,Lakers rookie (confirm),,Panini,Limited Phenoms Jersey Autographs,,45/49,raw,,Y,Lakers,,30,IMG_4839,3,Y,,confirm player
77,30.00,comp,Sports Card Investor / eBay,Anthony Edwards,2020,Panini,Prizm,,,PSA 9 MINT,92981922,,Timberwolves,258,,IMG_4851,3,,Base raw $8; base PSA 9 ~$25-35,RC
78,30.00,sticker,,Larry Johnson,1991-92,Upper Deck,,,,BGS 10 Auth Auto,00019509597,Y,Hornets,2,30,IMG_4851,7,,,RC auto
79,30.00,sticker,,Earl Campbell,2024,Panini,Select,White Shock,,SGC 9 MINT,13841571,,Oilers,64,30,IMG_4855,3,,,
80,28.00,sticker,,Cedric Coward,,Topps,(Round 1 Pick 11),,,raw,,Y,Grizzlies,,28,IMG_4836,6,,,RC auto
81,25.00,est,,Kristaps Porzingis,2015-16,Panini,Select Rookie Jersey Autographs,,,BGS 9.5 GEM MINT,0011376682,Y,Knicks,5,,IMG_4815,2,,,RC patch auto
82,25.00,est,,Sammy Sosa,,Upper Deck,Opening Day 2K,,,PSA/DNA Auth Auto,85892199,Y,Cubs,,,IMG_4817,4,,,
83,25.00,est,,Vladimir Guerrero Jr.,,Bowman,,,,BGS Auth Auto,00019742049,Y,Blue Jays,,,IMG_4817,6,,,
84,25.00,est,,Mike Piazza,1992,Bowman,,,,PSA 9 MINT,158041913,,Dodgers,461,,IMG_4818,1,,,Rookie
85,25.00,est,,Jayden Daniels,2024,Topps,Resurgence,Rookie Patch Auto,,PSA 9 MINT,128161736,Y,Commanders,RPAJD,,IMG_4822,3,,,RC patch auto
86,25.00,est,,James Cook,,Custom,Kaboom!,,,BGS Auth Auto,00020189746,Y,Bills,,,IMG_4823,1,Y,,FLAG: Beckett slab labels card COUNTERFEIT (custom Kaboom); auto authentic only - disclose/likely cannot list on major marketplaces
87,25.00,est,,James Cook,,Custom,Kaboom!,,,BGS Auth Auto,00020189590,Y,Bills,,,IMG_4823,2,Y,,FLAG: Beckett slab labels card COUNTERFEIT (custom Kaboom); auto authentic only - disclose/likely cannot list on major marketplaces
88,25.00,est,,Dan Hampton,,Pro Set,NFL,,,PSA/DNA Auth Auto,85843496,Y,Bears,99,,IMG_4823,3,,,
89,25.00,est,,Isaac TeSlaa,2025,Panini,Phoenix,Silver,,CGC 10 GEM MINT,6115924042,,Lions,189,,IMG_4823,4,,,RC
90,25.00,est,,Mike Singletary,,Custom,Booom!,,,BGS Auth Auto,00019911771,Y,Bears,50,,IMG_4825,2,Y,,FLAG: Beckett labels CUSTOM trading card; auto authentic - disclose
91,25.00,est,,Lawrence Taylor,1990,Score,All Pro,,,PSA/DNA Auth Auto,85822953,Y,Giants,56,,IMG_4825,3,,,
92,25.00,est,,Jason Kidd,,Upper Deck,SP Premier Prospects,,,PSA/DNA Auto 10 GEM MT,85138168,Y,,,,IMG_4827,3,,,
93,25.00,comp,Sports Card Investor,Kobe Bryant,1996-97,Topps,Stadium Club,,,raw,,,Lakers,,,IMG_4828,2,,Raw #R12 last sold ~$24,Rookie
94,25.00,est,,Shaquille O'Neal,1993,Classic,Four Sport All-Rookie Team,,,PSA/DNA Auth Auto,85823112,Y,LSU,,,IMG_4828,3,,,
95,25.00,sticker,,OG Anunoby,,Panini,Prizm,Gold,,raw,,,Raptors,3,25,IMG_4835,6,,,
96,25.00,sticker,,Eduardo Tait,,Panini,Immaculate Collection Marks,,07/10,raw,,Y,Twins,,25,IMG_4836,2,,,prospect auto /10
97,25.00,sticker,,Keon Coleman,,Donruss,Optic Rated Rookie,,,raw,,Y,Bills,0,25,IMG_4837,3,,,RC auto
98,25.00,sticker,,Dylan Crews,,Panini,Select Signatures,,,raw,,Y,Nationals,,25,IMG_4839,4,,,
99,25.00,sticker,,Dexter McCluster,2010,Topps,Triple Threads,,53/70,raw,,Y,Chiefs,,25,IMG_4839,6,,,RC patch auto
100,25.00,sticker,,Josh Hamilton,,Donruss,Artist Proof,Artist Proof,,raw,,,Rangers,32,25,IMG_4841,1,,,
101,25.00,sticker,,Travis Kelce,2013,Topps,,,,raw,,,Chiefs,,25,IMG_4842,1,Y,,RC-era; confirm exact set
102,25.00,sticker,,Hugo Gonzalez,2025,Signature Series,Class Masters,Blue,19/25,raw,,,Celtics,28,25,IMG_4846,4,,,RC
103,25.00,sticker,,Keon Coleman,,Panini,Origins Rookie Jumbo Jersey Autographs,,,raw,,Y,Bills,,25,IMG_4849,2,,,RC jumbo jersey auto
104,25.00,sticker,,Dallas Clark,,Panini,Signature,,,raw,,Y,Colts,44,25,IMG_4849,3,,,
105,25.00,comp,eBay / getcardbase,Sidney Crosby,2005,In The Game,Heroes & Prospects (Hot Prospects),,,PSA 10 GEM MT,63717486,,Rimouski,361,,IMG_4850,1,,"PSA 10 recent sales ~$22-26 (common late issue, not the key RC)",hockey pre-RC
106,25.00,est,,Christian Pulisic,2024-25,Topps,UCC,Neon Green Foil,30/199,SGC 9.5,9852245,,AC Milan,76,,IMG_4850,2,,,soccer
107,25.00,est,,Bryan Trottier,1976,Topps,,,,PSA 6 EX-MT,53572138,,Islanders,115,,IMG_4850,3,,,hockey RC
108,25.00,est,,Don Cherry,1974,Topps,,,,PSA 5 EX,140007639,,Bruins,161,,IMG_4850,4,,,hockey
109,25.00,est,,Coby White,2019-20,Panini,Mosaic (NBA Debut),Reactive Blue,,PSA 10 GEM MT,80262244,,Bulls,264,,IMG_4851,4,,,RC
110,25.00,est,,Fairy Godmother,2024,Topps,Disney Chrome Sapphire,Sapphire,,PSA 9 MINT,143570700,,Disney,18,,IMG_4852,1,,,non-sport
111,25.00,est,,Lando Norris,2022,Topps,Chrome Sapphire F1,Sapphire,,CGC 10 GEM MINT,6122187113,,McLaren,34,,IMG_4852,2,,,F1
112,25.00,est,,Oricorio ex,2025,Pokemon,Black Star Promos (Mega Charizard X ex UPC),,,CGC 9 MINT,6113873025,,Pokemon,024,,IMG_4852,3,,,Pokemon TCG
113,25.00,sticker,,Nolan Ryan,1977,Topps,,,,PSA 4 VG-EX,76765292,,Angels,650,25,IMG_4853,1,,,
114,25.00,est,,Robin Roberts,1960,Topps,,,,PSA 4 VG-EX,126493881,,Phillies,264,,IMG_4853,2,,,
115,25.00,est,,Joe Morgan,1975,Topps,,,,SGC 7 NM,0507280,,Reds,180,,IMG_4853,3,,,
116,25.00,est,,Bobby Witt Jr.,2024,Topps,Now,,,SGC 10 GEM,2901548,,Royals,778,,IMG_4853,4,,,
117,25.00,est,,Robin Yount,1975,Topps,,,,SGC 5 EX,0452044,,Brewers,223,,IMG_4853,5,,,2nd year
118,25.00,est,,Christian McCaffrey,2022,Donruss,Press Proof Premium,Press Proof Premium,,CGC 10 GEM MINT,6120395083,,Panthers,237,,IMG_4854,1,,,
119,25.00,est,,Cam Skattebo,2025,Panini,Mosaic,Red Camo,,PSA 9 MINT,146074542,,Giants,305,,IMG_4854,2,,,RC
120,25.00,est,,Johnny Manziel,,Custom,Boom,,,BGS Witnessed Auth Auto,00019976760,Y,Texas A&M,2,,IMG_4855,1,Y,,FLAG: Beckett labels CUSTOM card; witnessed auto - disclose
121,25.00,est,,Johnny Manziel,,Custom,Boom,,,BGS Witnessed Auth Auto,00019976761,Y,Texas A&M,2,,IMG_4855,2,Y,,FLAG: Beckett labels CUSTOM card; witnessed auto - disclose (2nd copy)
122,25.00,est,,Gilbert Brown,,Custom,Boom!,,,BGS Witnessed Auth Auto,00019565367,Y,Packers,93,,IMG_4855,5,Y,,FLAG: Beckett labels CUSTOM card; witnessed auto - disclose
123,25.00,est,,Michael Jordan,1991,Hoops,McDonald's,,,PSA 8 NM-MT,87363314,,USA,55,,IMG_4856,1,,,1992 Dream Team
124,25.00,est,,Jackson Merrill,2024,Topps,Chrome Update,X-Fractor,,PSA 9 MINT,102695586,,Padres,USC57,,IMG_4857,1,,,RC
125,25.00,est,,Roger Clemens,1987,Topps,Tiffany,,,PSA 8 NM-MT,49021311,,Red Sox,340,,IMG_4857,3,,,
126,25.00,est,,Jayden Reed,2025,Donruss,Season Stat Line,Pink,413/500,CGC 10 GEM MINT,6129034287,,Packers,49,,IMG_4900,1,,,
127,24.00,sticker,,Ricky Williams,,Topps,,,,raw,,Y,Dolphins,34,24,IMG_4841,5,,,
128,23.50,sticker,,Will Riley,,Topps,Midnight,,,raw,,Y,Wizards,,23.50,IMG_4836,5,,,RC jersey auto
129,23.00,sticker,,Luther Burden III,2025,Topps,Chrome Fortune,Spade,36/50,raw,,,Bears,10,23,IMG_4838,5,,,RC
130,22.00,sticker,,Paul Goldschmidt,,Topps,Fire,,,raw,,Y,Cardinals,,22,IMG_4837,4,,,
131,21.00,sticker,,Dax Kilby,,Panini,Immaculate INK,,11/99,raw,,Y,,,21,IMG_4838,6,,,prospect auto
132,20.00,est,,Ace Bailey,2025,Leaf,Metal,,,raw,,Y,,,,IMG_4814,5,,,RC auto
133,20.00,est,,Chet Holmgren,,Panini,Recon,,18/75,raw,,Y,Thunder,7,,IMG_4815,6,,,Rookie auto /75
134,20.00,est,,Jack Morris,,Panini,Chronicled Calligraphy,,,raw,,Y,Tigers,,,IMG_4817,2,,,patch auto
135,20.00,est,,Willie Mays,,Topps,Pristine Perseverance,Gold,12/50,raw,,,Giants,,,IMG_4819,1,,,
136,20.00,est,,Jarren Duran,,Bowman,Platinum,,72/199,raw,,Y,Red Sox,,,IMG_4821,3,,,
137,20.00,est,,Jalen Hurts,2020,Panini,XR Triple Swatch Autographs,,,raw,,Y,Eagles,,,IMG_4824,3,Y,,RC patch auto; confirm player ID
138,20.00,est,,Dan Marino,,Topps,,,,raw,,Y,Dolphins,13,,IMG_4825,4,,,certified auto issue
139,20.00,est,,Allen Iverson,2025,Panini,Signature Series (Signature Stats Cracked Ice) REDEMPTION,Cracked Ice,,raw,,Y,76ers,1,,IMG_4828,1,Y,,"UNREDEEMED redemption, expires 11/27/2027"
140,20.00,est,,Ryne Sandberg,,Leaf,Toast of the Town Sports Heroes,Gold die-cut,,raw,,Y,Cubs,23,,IMG_4830,3,,,
141,20.00,est,,David Robinson,,Topps,Chrome (insert),,64/99,raw,,,Spurs,50,,IMG_4831,5,,,
142,20.00,est,,Tim Tebow,2010,Panini,Prestige Draft,,,raw,,Y,Broncos,15,,IMG_4831,7,,,RC auto
143,20.00,est,,Warren Sapp,,Leaf,Metal Signature Series,,,raw,,Y,Buccaneers,99,,IMG_4832,1,,,
144,20.00,est,,Nikola Vucevic,,Panini,Recon,Red,76/99,raw,,Y,Bulls,,,IMG_4832,4,,,
145,20.00,est,,George Pickens,,Panini,Illusions Rookie Vision,,,raw,,Y,Steelers,14,,IMG_4832,5,,,RC auto
146,20.00,est,,J.J. McCarthy,,Donruss,Rated Rookie,,,raw,,Y,Vikings,,,IMG_4833,1,,,RC auto
147,20.00,est,,Keon Coleman,,Panini,Gold Standard,,039/199,raw,,Y,Bills,0,,IMG_4833,4,,,RC auto
148,20.00,est,,David Montgomery,,Panini,Absolute,,13/75,raw,,Y,Bears,32,,IMG_4834,3,,,RC auto
149,20.00,est,,Steven Stamkos,,Leaf,Metal,Red,,raw,,Y,Lightning,91,,IMG_4835,1,,,hockey
150,20.00,est,,Nikita Kucherov,,Upper Deck,Stature,,,raw,,Y,Lightning,,,IMG_4835,2,,,hockey
151,20.00,sticker,,Brooks Lee,,Panini,Impeccable Elegance,,49/99,raw,,Y,Twins,,20,IMG_4837,5,,,patch auto
152,20.00,sticker,,Max Anderson,,Panini,Immaculate (dual jersey auto),,75/99,raw,,Y,Tigers,,20,IMG_4839,2,,,prospect
153,20.00,est,,Tim Hardaway,,Panini,Mosaic Pictographs,,,raw,,Y,Warriors,,,IMG_4840,4,,,
154,20.00,est,,Quinshon Judkins,2025,Topps,Chrome,Blue,117/150,raw,,Y,Browns,10,,IMG_4840,5,,,RC auto
155,20.00,sticker,,Willie Mays,,Topps,(Turkey Red style),Gold,,raw,,,Giants,,20,IMG_4841,2,,,
156,20.00,sticker,,Hank Aaron,,Topps,(Turkey Red/Heritage style),,,raw,,,Braves,,20,IMG_4842,6,,,
157,20.00,est,,Jerry Lawler,,Panini,Prizm Sensations Signatures,Red,,raw,,Y,WWE,,,IMG_4843,5,,,
158,20.00,est,,Caleb Bonemer,,Bowman,,,,raw,,Y,White Sox,21,,IMG_4844,2,,,prospect auto
159,20.00,est,,Obi Toppin,,Panini,One Prime,,32/99,raw,,Y,Knicks,,,IMG_4844,4,,,RC patch auto
160,20.00,est,,Jordan Addison,,Donruss,Rated Rookie,,083/175,raw,,Y,Vikings,3,,IMG_4844,5,,,RC auto
161,20.00,est,,Omarion Hampton,2025,Topps,Chrome,,109/499,raw,,Y,Chargers,8,,IMG_4845,2,,,RC auto
162,20.00,est,,Dak Prescott,,Panini,National Treasures Century Materials,,38/49,raw,,,Cowboys,,,IMG_4845,5,,,patch
163,20.00,est,,Michael Pittman Jr.,2020,Panini,Contenders Rookie Ticket,,,raw,,Y,Colts,86,,IMG_4845,6,,,RC auto
164,20.00,est,,Spurs rookie (confirm - sig 'Deo Ver'),2025,Topps,(Round 1 Pick),,,raw,,Y,Spurs,24,,IMG_4846,1,Y,,RC auto; confirm player
165,20.00,est,,Justin Verlander,,Topps,Triple Threads (750),,24/36,raw,,,Tigers,,,IMG_4847,6,,,jersey
166,20.00,est,,Alec Pierce,,Panini,Contenders Conference Ticket,,,raw,,Y,Colts,,,IMG_4848,4,,,RC auto
167,20.00,est,,Jack Sawyer,2025,Fut/Leaf,Players Trove,,,raw,,Y,Steelers,33,,IMG_4848,5,,,RC auto (college Ohio St)
168,20.00,est,,Xavier Worthy,2024,Topps,Chrome,,017/100,raw,,Y,Chiefs,,,IMG_4848,6,,,RC auto
169,20.00,est,,Kenyan Drake,,Panini,Plates & Patches Marquee Marks,,32/50,raw,,Y,Cardinals,,,IMG_4858,3,,,
170,20.00,est,,Ashton Jeanty,2025,Leaf,Metal Matte,Matte,39/50,raw,,,Raiders,,,IMG_4858,5,,,RC (college)
171,20.00,est,,Alex English,,Panini,Limited Decade Dominance,,50/99,raw,,,Nuggets,2,,IMG_4861,1,,,jersey
172,20.00,est,,Ajay Mitchell,,Panini,NBA Hoops Live,,,raw,,Y,Thunder,25,,IMG_4861,6,,,RC auto
173,20.00,est,,Henry Ellenson,,Panini,Limited Rookie Phenoms,,/99,raw,,Y,Pistons,,,IMG_4861,7,,,RC jersey auto
174,20.00,est,,Jacob Wilson,,Donruss,Crunch Time,Blue,09/49,raw,,,Athletics,5,,IMG_4862,6,,,RC
175,20.00,est,,Mason Graham,2025,Topps,Chrome Black,,,raw,,Y,Browns,94,,IMG_4865,1,,,RC auto
