card_id,player,year,brand,set,parallel,serial,grade,current_value,current_basis,CARDLADDER_LAST_SOLD,SALE_DATE
IMG_4841:3,Kevin Alcantara,,Panini,Immaculate Collection,,06/25,,35,sticker,,
IMG_4845:4,Steve Carlton,,Panini,America's Pastime Boys of Summer,,20/25,,35,est,,
IMG_4847:3,Rod Carew,,Topps,Gilded Collection,,,,35,sticker,,
IMG_4875:2,Dak Prescott,,Wild Card,Alumination,Orange,6/20,,35,est,,
IMG_4876:4,Roy Hibbert,,Panini,Limited Marquee Prints,,02/25,,35,est,,
IMG_4883:5,Christian Collins,2025,Signature Series,,,09/25,,35,est,,
IMG_4922:3,Mike Conley,,Panini,Limited,,19/25,,35,est,,
IMG_4935:4,Dante Hall,,Topps,Finest,Red,06/25,,35,est,,
IMG_4938:2,Luis Pena,,Panini,Immaculate Collection,,20/25,,35,est,,
IMG_4940:1,Mavericks rookie (confirm),,Panini,Limited Phenoms Jersey Autographs,,19/25,,35,est,,
IMG_4945:1,Cameron Schlittler,,Panini,Immaculate Collection,,18/25,,35,est,,
IMG_4855:4,Amon-Ra St. Brown,2022,Panini,Select,Tri-Color Prizm,37/249,SGC 10,34,sticker,,
IMG_4837:2,Sion James,2025,Topps,Inception,,08/10,,30,sticker,,
IMG_4838:4,Jalen Brunson,,Panini,Select,,,,30,sticker,,
IMG_4839:3,Lakers rookie (confirm),,Panini,Limited Phenoms Jersey Autographs,,45/49,,30,sticker,,
IMG_4851:3,Anthony Edwards,2020,Panini,Prizm,,,PSA 9 MINT,30,comp,,
IMG_4851:7,Larry Johnson,1991-92,Upper Deck,,,,BGS 10 Auth Auto,30,sticker,,
IMG_4855:3,Earl Campbell,2024,Panini,Select,White Shock,,SGC 9 MINT,30,sticker,,
IMG_4836:6,Cedric Coward,,Topps,(Round 1 Pick 11),,,,28,sticker,,
IMG_4815:2,Kristaps Porzingis,2015-16,Panini,Select Rookie Jersey Autographs,,,BGS 9.5 GEM MINT,25,est,,
IMG_4817:4,Sammy Sosa,,Upper Deck,Opening Day 2K,,,PSA/DNA Auth Auto,25,est,,
IMG_4817:6,Vladimir Guerrero Jr.,,Bowman,,,,BGS Auth Auto,25,est,,
IMG_4818:1,Mike Piazza,1992,Bowman,,,,PSA 9 MINT,25,est,,
IMG_4822:3,Jayden Daniels,2024,Topps,Resurgence,Rookie Patch Auto,,PSA 9 MINT,25,est,,
IMG_4823:1,James Cook,,Custom,Kaboom!,,,BGS Auth Auto,25,est,,
IMG_4823:2,James Cook,,Custom,Kaboom!,,,BGS Auth Auto,25,est,,
IMG_4823:3,Dan Hampton,,Pro Set,NFL,,,PSA/DNA Auth Auto,25,est,,
IMG_4823:4,Isaac TeSlaa,2025,Panini,Phoenix,Silver,,CGC 10 GEM MINT,25,est,,
IMG_4825:2,Mike Singletary,,Custom,Booom!,,,BGS Auth Auto,25,est,,
IMG_4825:3,Lawrence Taylor,1990,Score,All Pro,,,PSA/DNA Auth Auto,25,est,,
IMG_4827:3,Jason Kidd,,Upper Deck,SP Premier Prospects,,,PSA/DNA Auto 10 GEM MT,25,est,,
IMG_4828:2,Kobe Bryant,1996-97,Topps,Stadium Club,,,,25,comp,,
IMG_4828:3,Shaquille O'Neal,1993,Classic,Four Sport All-Rookie Team,,,PSA/DNA Auth Auto,25,est,,
IMG_4835:6,OG Anunoby,,Panini,Prizm,Gold,,,25,sticker,,
IMG_4836:2,Eduardo Tait,,Panini,Immaculate Collection Marks,,07/10,,25,sticker,,
IMG_4837:3,Keon Coleman,,Donruss,Optic Rated Rookie,,,,25,sticker,,
IMG_4839:4,Dylan Crews,,Panini,Select Signatures,,,,25,sticker,,
IMG_4839:6,Dexter McCluster,2010,Topps,Triple Threads,,53/70,,25,sticker,,
IMG_4841:1,Josh Hamilton,,Donruss,Artist Proof,Artist Proof,,,25,sticker,,
IMG_4842:1,Travis Kelce,2013,Topps,,,,,25,sticker,,
IMG_4846:4,Hugo Gonzalez,2025,Signature Series,Class Masters,Blue,19/25,,25,sticker,,
IMG_4849:2,Keon Coleman,,Panini,Origins Rookie Jumbo Jersey Autographs,,,,25,sticker,,
IMG_4849:3,Dallas Clark,,Panini,Signature,,,,25,sticker,,
IMG_4850:1,Sidney Crosby,2005,In The Game,Heroes & Prospects (Hot Prospects),,,PSA 10 GEM MT,25,comp,,
IMG_4850:2,Christian Pulisic,2024-25,Topps,UCC,Neon Green Foil,30/199,SGC 9.5,25,est,,
IMG_4850:3,Bryan Trottier,1976,Topps,,,,PSA 6 EX-MT,25,est,,
IMG_4850:4,Don Cherry,1974,Topps,,,,PSA 5 EX,25,est,,
IMG_4851:4,Coby White,2019-20,Panini,Mosaic (NBA Debut),Reactive Blue,,PSA 10 GEM MT,25,est,,
IMG_4852:1,Fairy Godmother,2024,Topps,Disney Chrome Sapphire,Sapphire,,PSA 9 MINT,25,est,,
IMG_4852:2,Lando Norris,2022,Topps,Chrome Sapphire F1,Sapphire,,CGC 10 GEM MINT,25,est,,
IMG_4852:3,Oricorio ex,2025,Pokemon,Black Star Promos (Mega Charizard X ex UPC),,,CGC 9 MINT,25,est,,
IMG_4853:1,Nolan Ryan,1977,Topps,,,,PSA 4 VG-EX,25,sticker,,
IMG_4853:2,Robin Roberts,1960,Topps,,,,PSA 4 VG-EX,25,est,,
IMG_4853:3,Joe Morgan,1975,Topps,,,,SGC 7 NM,25,est,,
IMG_4853:4,Bobby Witt Jr.,2024,Topps,Now,,,SGC 10 GEM,25,est,,
IMG_4853:5,Robin Yount,1975,Topps,,,,SGC 5 EX,25,est,,
IMG_4854:1,Christian McCaffrey,2022,Donruss,Press Proof Premium,Press Proof Premium,,CGC 10 GEM MINT,25,est,,
IMG_4854:2,Cam Skattebo,2025,Panini,Mosaic,Red Camo,,PSA 9 MINT,25,est,,
IMG_4855:1,Johnny Manziel,,Custom,Boom,,,BGS Witnessed Auth Auto,25,est,,
IMG_4855:2,Johnny Manziel,,Custom,Boom,,,BGS Witnessed Auth Auto,25,est,,
IMG_4855:5,Gilbert Brown,,Custom,Boom!,,,BGS Witnessed Auth Auto,25,est,,
IMG_4856:1,Michael Jordan,1991,Hoops,McDonald's,,,PSA 8 NM-MT,25,est,,
IMG_4857:1,Jackson Merrill,2024,Topps,Chrome Update,X-Fractor,,PSA 9 MINT,25,est,,
IMG_4857:3,Roger Clemens,1987,Topps,Tiffany,,,PSA 8 NM-MT,25,est,,
IMG_4900:1,Jayden Reed,2025,Donruss,Season Stat Line,Pink,413/500,CGC 10 GEM MINT,25,est,,
IMG_4841:5,Ricky Williams,,Topps,,,,,24,sticker,,
IMG_4836:5,Will Riley,,Topps,Midnight,,,,24,sticker,,
IMG_4838:5,Luther Burden III,2025,Topps,Chrome Fortune,Spade,36/50,,23,sticker,,
IMG_4837:4,Paul Goldschmidt,,Topps,Fire,,,,22,sticker,,
IMG_4838:6,Dax Kilby,,Panini,Immaculate INK,,11/99,,21,sticker,,
IMG_4814:5,Ace Bailey,2025,Leaf,Metal,,,,20,est,,
IMG_4815:6,Chet Holmgren,,Panini,Recon,,18/75,,20,est,,
IMG_4817:2,Jack Morris,,Panini,Chronicled Calligraphy,,,,20,est,,
IMG_4819:1,Willie Mays,,Topps,Pristine Perseverance,Gold,12/50,,20,est,,
IMG_4821:3,Jarren Duran,,Bowman,Platinum,,72/199,,20,est,,
IMG_4824:3,Jalen Hurts,2020,Panini,XR Triple Swatch Autographs,,,,20,est,,
IMG_4825:4,Dan Marino,,Topps,,,,,20,est,,
IMG_4828:1,Allen Iverson,2025,Panini,Signature Series (Signature Stats Cracked Ice) REDEMPTION,Cracked Ice,,,20,est,,
IMG_4830:3,Ryne Sandberg,,Leaf,Toast of the Town Sports Heroes,Gold die-cut,,,20,est,,
IMG_4831:5,David Robinson,,Topps,Chrome (insert),,64/99,,20,est,,
IMG_4831:7,Tim Tebow,2010,Panini,Prestige Draft,,,,20,est,,
IMG_4832:1,Warren Sapp,,Leaf,Metal Signature Series,,,,20,est,,
IMG_4832:4,Nikola Vucevic,,Panini,Recon,Red,76/99,,20,est,,
IMG_4832:5,George Pickens,,Panini,Illusions Rookie Vision,,,,20,est,,
IMG_4833:1,J.J. McCarthy,,Donruss,Rated Rookie,,,,20,est,,
IMG_4833:4,Keon Coleman,,Panini,Gold Standard,,039/199,,20,est,,
IMG_4834:3,David Montgomery,,Panini,Absolute,,13/75,,20,est,,
IMG_4835:1,Steven Stamkos,,Leaf,Metal,Red,,,20,est,,
IMG_4835:2,Nikita Kucherov,,Upper Deck,Stature,,,,20,est,,
IMG_4837:5,Brooks Lee,,Panini,Impeccable Elegance,,49/99,,20,sticker,,
IMG_4839:2,Max Anderson,,Panini,Immaculate (dual jersey auto),,75/99,,20,sticker,,
IMG_4840:4,Tim Hardaway,,Panini,Mosaic Pictographs,,,,20,est,,
IMG_4840:5,Quinshon Judkins,2025,Topps,Chrome,Blue,117/150,,20,est,,
IMG_4841:2,Willie Mays,,Topps,(Turkey Red style),Gold,,,20,sticker,,
IMG_4842:6,Hank Aaron,,Topps,(Turkey Red/Heritage style),,,,20,sticker,,
IMG_4843:5,Jerry Lawler,,Panini,Prizm Sensations Signatures,Red,,,20,est,,
IMG_4844:2,Caleb Bonemer,,Bowman,,,,,20,est,,
IMG_4844:4,Obi Toppin,,Panini,One Prime,,32/99,,20,est,,
IMG_4844:5,Jordan Addison,,Donruss,Rated Rookie,,083/175,,20,est,,
IMG_4845:2,Omarion Hampton,2025,Topps,Chrome,,109/499,,20,est,,
IMG_4845:5,Dak Prescott,,Panini,National Treasures Century Materials,,38/49,,20,est,,
IMG_4845:6,Michael Pittman Jr.,2020,Panini,Contenders Rookie Ticket,,,,20,est,,
IMG_4846:1,Spurs rookie (confirm - sig 'Deo Ver'),2025,Topps,(Round 1 Pick),,,,20,est,,
IMG_4847:6,Justin Verlander,,Topps,Triple Threads (750),,24/36,,20,est,,
IMG_4848:4,Alec Pierce,,Panini,Contenders Conference Ticket,,,,20,est,,
IMG_4848:5,Jack Sawyer,2025,Fut/Leaf,Players Trove,,,,20,est,,
IMG_4848:6,Xavier Worthy,2024,Topps,Chrome,,017/100,,20,est,,
IMG_4858:3,Kenyan Drake,,Panini,Plates & Patches Marquee Marks,,32/50,,20,est,,
IMG_4858:5,Ashton Jeanty,2025,Leaf,Metal Matte,Matte,39/50,,20,est,,
IMG_4861:1,Alex English,,Panini,Limited Decade Dominance,,50/99,,20,est,,
IMG_4861:6,Ajay Mitchell,,Panini,NBA Hoops Live,,,,20,est,,
IMG_4861:7,Henry Ellenson,,Panini,Limited Rookie Phenoms,,/99,,20,est,,
IMG_4862:6,Jacob Wilson,,Donruss,Crunch Time,Blue,09/49,,20,est,,
IMG_4865:1,Mason Graham,2025,Topps,Chrome Black,,,,20,est,,
IMG_4868:1,Jimmy Rollins,,Donruss,Elite Career Best,Green,95/99,,20,est,,
IMG_4877:2,Buddy Hield,,Panini,Limited,,04/49,,20,est,,
IMG_4878:1,Jamal Shead,2024,Panini,NBA Hoops Live,,,,20,est,,
IMG_4878:2,Isaiah Collier,2024,Topps,(Round 1 Pick 29),,,,20,est,,
IMG_4878:4,Daniel Gafford,,Topps,Midnight,,,,20,est,,
IMG_4883:2,Asa Newell,2025,Signature Series,,,13/99,,20,est,,
IMG_4883:3,Spurs rookie (confirm),2025,Signature Series,,,48/65,,20,est,,
IMG_4892:1,JB Middleton,2025,Donruss,Elite Prospect Yearbook,,,,20,est,,
IMG_4892:4,Khadim Diaw,,Donruss,Signature Series,,,,20,est,,
IMG_4893:4,Spencer Jones,,Donruss,Optic (bronze frame),Bronze,87/99,,20,est,,
IMG_4895:1,Zay Flowers,2023,Panini,Origins Rookie Autographs,,,,20,est,,
IMG_4895:2,Ashton Jeanty,2025,Panini,Phoenix,,,,20,est,,
IMG_4896:1,Matt Kemp,,Topps,Tier One Crowd Pleasers,,/75,,20,est,,
IMG_4896:2,Jackson Jobe,,Topps,Finest,,11/50,,20,est,,
IMG_4899:3,Darius Acuff Jr.,2025,Signature Series,Perpetual Talents,,54/75,,20,est,,
IMG_4899:4,Bill Walton,,Panini,Canvas Creations,,,,20,est,,
IMG_4900:2,C.J. Stroud,,Panini,Black Futuristic,,04/99,,20,est,,
IMG_4904:1,Bilal El Khannouss,,Topps,Chrome Bundesliga,Green,64/99,,20,est,,
IMG_4904:2,Ezechiel Banzuzi,,Topps,Chrome Bundesliga,Purple,/75,,20,est,,
IMG_4904:3,Rayan Philippe,,Topps,Chrome Ultrabeam,Gold,29/50,,20,est,,
IMG_4904:4,Patrik Schick,,Topps,Chrome Bundesliga,Purple,32/75,,20,est,,
IMG_4904:6,Johan Bakayoko,,Topps,Chrome Bundesliga,Green,07/99,,20,est,,
IMG_4905:4,Ryan Kalkbrenner,2025,Panini,Signature Series Tools of the Trade,,21/49,,20,est,,
IMG_4906:1,Kony Ealy,,Panini,Signature,,,,20,est,,
IMG_4906:2,Hassan Haskins,,Panini,Prizm Significant Signatures,,,,20,est,,
IMG_4906:4,Abdul Carter,2025,Donruss,Elite Turn of the Century,Red,11/75,,20,est,,
IMG_4906:6,Mario Edwards Jr.,,Topps,Chrome,,,,20,est,,
IMG_4926:6,Cameron Erving,2015,Sage,Draft Picks,,,,20,est,,
IMG_4936:1,T.J. Warren,2014,Panini,Prizm,,,,20,est,,
IMG_4936:4,Cory Jefferson,2014,Panini,Prizm,,,,20,est,,
IMG_4936:6,Jordan Clarkson,,Panini,Limited Team Trademarks,,16/99,,20,est,,
IMG_4938:1,Ethan Conrad,,Panini,Immaculate Collection Brilliance,,43/99,,20,est,,
IMG_4939:6,MarJon Beauchamp,,Panini,Impeccable Immaculate Autographs,,76/88,,20,est,,
IMG_4940:2,Thon Maker,,Panini,Limited Unlimited Materials,,17/39,,20,est,,
IMG_4940:3,Georgios Papagiannis,,Panini,Limited,,,,20,est,,
IMG_4941:1,Randall Cobb,,Panini,Prizm Sensational Signatures,Pink Xfractor,,,20,est,,
IMG_4941:2,DK Metcalf,,Panini,Phoenix Signatures Moments,,,,20,est,,
IMG_4942:6,Antonio Gates,,Panini,Prizm Franchise Legends,,,,20,est,,
IMG_4948:3,Tony Gonzalez,,Panini,Plates & Patches Legends,,37/65,,20,est,,
IMG_4949:1,Trevor Ariza,,Panini,Limited,,30/99,,20,est,,
IMG_4949:2,Nikola Vucevic,,Panini,Limited,,41/49,,20,est,,
IMG_4949:3,DeAndre' Bembry,,Panini,Limited,,08/49,,20,est,,
IMG_4955:2,Adrian Gonzalez,,Panini,Immaculate Collection,,94/99,,20,est,,
IMG_4848:2,Lamar Jackson,,Leaf,Flash,Blue,076/150,,19,sticker,,
IMG_4840:3,Josh Allen,,Topps,Finest Creators,,058/150,,18,sticker,,
IMG_4842:4,Redskins WR (confirm),,Panini,Immortalized (auto patch),Xfractor-style,39/99,,17,sticker,,
IMG_4815:4,Victor Wembanyama,2023,Topps,Now,,,,15,est,,
IMG_4815:5,Kobe Bryant,,Topps,Finest,,,,15,est,,
IMG_4816:2,Victor Wembanyama,2023-24,Panini,Prizm Monopoly,Base,,,15,est,,
IMG_4816:3,LeBron James,,Panini,Prizm All-Star,Red,,,15,est,,
IMG_4818:6,Shohei Ohtani,,Topps,Chrome,,,,15,est,,
IMG_4820:1,Stephen Curry / Kevin Durant,,Leaf,Exclusive Legends Edition,Wave,,,15,est,,
IMG_4825:1,Joe Burrow,,Panini,Prizm,,,,15,est,,
IMG_4829:1,Shohei Ohtani,,Topps,75th (Dodgers Duo),,,,15,est,,
IMG_4829:2,Shohei Ohtani,,Topps,Chrome (National),,,,15,est,,
IMG_4829:3,Shohei Ohtani,,Topps,Finest,,,,15,est,,
IMG_4829:4,Shohei Ohtani,,Bowman,,,,,15,est,,
IMG_4829:5,Aaron Judge,2017,Bowman,Rookie of the Year Favorites,,,,15,est,,
IMG_4831:2,Anthony Edwards,,Panini,Prizm,Blue,,,15,est,,
IMG_4831:4,Luka Doncic,,Panini,NBA Hoops Lights Camera Action,,,,15,est,,
IMG_4831:8,Breece Hall,,Panini,Limited Unlimited Potential,,,,15,est,,
IMG_4832:6,Shai Gilgeous-Alexander,,Topps,Chrome Ball Duty,,036/199,,15,est,,
IMG_4833:5,Bobby Witt Jr.,,Donruss,Rated Prospect,Red,006/149,,15,est,,
IMG_4835:3,Michael Redd,,Fleer,Autographics,,,,15,sticker,,
IMG_4835:4,Blake Corum,,Panini,Contenders Permit to Dominate,,,,15,sticker,,
IMG_4838:3,confirm (baseball prospect),,Topps,Inception,Red,,,15,sticker,,
IMG_4839:1,Jett Williams,,Donruss,Canvas Creations,,37/49,,15,sticker,,
IMG_4840:1,Victor Wembanyama,2023-24,Topps,(Round 1 Pick 1),,,,15,sticker,,
IMG_4843:4,Giannis Antetokounmpo,,Donruss,Optic My House,,,,15,est,,
IMG_4844:3,Giannis Antetokounmpo,,Donruss,Optic,Purple,,,15,est,,
IMG_4846:3,Victor Wembanyama,,Topps,Chrome Highlights (Euphoria),,,,15,est,,
IMG_4847:1,Payton Tolle,,Panini,Immaculate Collection,,25/49,,15,sticker,,
IMG_4847:2,Pablo Sandoval,,Panini,Spectra Brilliance,,,,15,est,,
IMG_4851:1,Horace Grant,,Custom,Booom!,,,BGS Auth Auto,15,sticker,,
IMG_4851:5,Horace Grant,,Custom,Booom!,,,BGS Auth Auto,15,sticker,,
IMG_4858:4,Josh Allen,,Topps,Chrome Light Speed,,,,15,est,,
IMG_4859:1,Von Miller,,Panini,Select Multiverse,Red,,,15,est,,
IMG_4859:2,Ezekiel Elliott,,Donruss,Elite Coverage,,,,15,est,,
IMG_4860:5,Marquise Brown,,Panini,Select Multiverse,,,,15,est,,
IMG_4861:4,Michael Jordan,1992-93,Upper Deck,All-Star Weekend,,,,15,est,,
IMG_4862:4,Aaron Judge,,Donruss,Elite Career Best,,,,15,est,,
IMG_4862:5,Bobby Witt Jr.,,Donruss,Unleashed,,091/199,,15,est,,
IMG_4863:1,Aaron Judge,,Donruss,Elite,,,,15,est,,
IMG_4866:3,Shai Gilgeous-Alexander,,Panini,NBA Hoops All-Star,Holo,,,15,est,,
IMG_4866:5,Shai Gilgeous-Alexander,,Panini,NBA Hoops Finals Pursuit,Holo,,,15,est,,
IMG_4867:6,Luka Doncic,2025,Topps,(Round 1 Pick 3),,,,15,est,,
IMG_4873:1,Patrick Mahomes II,2023,Panini,Select,Silver,,,15,est,,
IMG_4876:5,Luka Doncic,2025,Panini,NBA Hoops (Hvala Za Vse Luka),,,,15,est,,
IMG_4877:3,Stephen Curry,2025,Panini,NBA Hoops All-Star,Holo,,,15,est,,
IMG_4877:4,Victor Wembanyama,2025,Panini,NBA Hoops All-Star,,,,15,est,,
IMG_4877:6,Victor Wembanyama,,Panini,NBA Hoops,,,,15,est,,
IMG_4878:3,Kobe Bryant,,Upper Deck,Pros & Prospects,,,,15,est,,
IMG_4885:5,Nikola Jokic,,Topps,Unfazed,,,,15,est,,
IMG_4889:3,Giannis Antetokounmpo,,Panini,Prizm,,,,15,est,,
IMG_4892:5,Heston Kjerstad,2020,Panini,Elite Extra Edition First Round Materials,,,,15,est,,
IMG_4899:1,Bam Adebayo,,Topps,Contemporary Collection Lucky Draw,,,,15,est,,
IMG_4901:1,Bryce Eldridge,,Panini,Stars & Stripes Throwback,,,,15,est,,
IMG_4902:1,LeBron James,,Panini,Limited No Limit,,,,15,est,,
IMG_4907:1,Bobby Witt Jr.,,Topps,Finest,,,,15,est,,
IMG_4907:3,Shohei Ohtani,,Topps,Finest,,,,15,est,,
IMG_4909:5,Paul Skenes,,Topps,Finest,,,,15,est,,
IMG_4910:4,Mike Trout,,Topps,Finest,,,,15,est,,
IMG_4913:1,Michael Jordan,,Upper Deck,MVP Back to Back,,,,15,est,,
IMG_4917:4,Kobe Bryant,,Upper Deck,Pros & Prospects,,,,15,est,,
IMG_4919:2,Anthony Edwards,,Panini,NBA Hoops,Holo,,,15,est,,
IMG_4921:6,Kobe Bryant,,Fleer,Tradition,,,,15,est,,
IMG_4922:5,Victor Wembanyama,,Panini,NBA Hoops,,,,15,est,,
IMG_4923:2,Stephen Curry,,Panini,NBA Hoops Highlights,,,,15,est,,
IMG_4924:1,Nikola Jokic,,Panini,NBA Hoops (Winter),Sparkle,,,15,est,,
IMG_4927:5,Patrick Mahomes II,,Topps,Chrome Cosmic,,,,15,est,,
IMG_4929:5,Tom Brady,,Panini,Mosaic Men of Mastery,,,,15,est,,
IMG_4930:6,Josh Allen,,Panini,Mosaic,Silver,,,15,est,,
IMG_4932:1,Joe Burrow,,Panini,Mosaic Touchdown Masters,,,,15,est,,
IMG_4932:2,Ja'Marr Chase,,Panini,Mosaic,Pink Camo,,,15,est,,
IMG_4934:4,Paul Skenes,,Donruss,Elite Spell Bound,,,,15,est,,
IMG_4936:3,Stephen Curry,,Panini,Origins,,,,15,est,,
IMG_4937:2,Javon Small,2025,Panini,Threads,,,,15,est,,
IMG_4937:3,Cameron Thomas,,Panini,Origins,,,,15,est,,
IMG_4940:4,Michael Jordan,,Upper Deck,The MJ Records Almanac,,,,15,est,,
IMG_4940:6,Kobe Bryant,,Upper Deck,Hardcourt,,,,15,est,,
IMG_4942:4,Riley Leonard,2025,Donruss,Optic Phenom,,,,15,est,,
IMG_4943:4,Kobe Bryant,,Fleer,Tradition,,,,15,est,,
IMG_4943:5,Kobe Bryant,,Upper Deck,New Court Order,,,,15,est,,
IMG_4945:2,Cliff Floyd,,Topps,206 (mini jersey),,,,15,est,,
IMG_4946:2,Paul Skenes,,Donruss,,,,,15,est,,
